"sim_idx","generation","epsilon","next_epsilon","accept_rate","n_sims","ess"
10650,1,NA,42.8100833670607,1,200,200
10650,2,42.8100833670607,38.2923966652408,0.318471337579618,439,196.541456006695
10650,3,38.2923966652408,32.5858896789852,0.405679513184584,425,197.009223620695
10650,4,32.5858896789852,25.5315927694119,0.355871886120996,469,196.020909353182
10650,5,25.5315927694119,17.0147592776938,0.371057513914657,455,197.10808331374
10650,6,17.0147592776938,10.0711054886335,0.37593984962406,467,198.951904862656
2041,1,NA,45.9429923863278,1,200,200
2041,2,45.9429923863278,42.9228619950544,0.337837837837838,401,196.977153379502
2041,3,42.9228619950544,39.0511940501316,0.353982300884956,478,196.124247776237
2041,4,39.0511940501316,33.0150203531943,0.383877159309021,431,195.784551570129
2041,5,33.0150203531943,25.803900928128,0.377358490566038,445,196.658999115264
2041,6,25.803900928128,15.8718033131756,0.417536534446764,407,196.745122125202
8668,1,NA,105.15460392411,1,200,200
8668,2,105.15460392411,97.6401394733693,0.336700336700337,403,196.391503452385
8668,3,97.6401394733693,86.17277855071,0.380228136882129,433,195.431332395097
8668,4,86.17277855071,67.3951078691505,0.375234521575985,443,195.666869580893
8668,5,67.3951078691505,44.9846131789848,0.338409475465313,470,197.139896328198
8668,6,44.9846131789848,25.5389091306093,0.341880341880342,480,199.197825687577
1114,1,NA,67.3188538134847,1,200,200
1114,2,67.3188538134847,63.7084532489778,0.35778175313059,383,195.08655255496
1114,3,63.7084532489778,58.2428724746171,0.380228136882129,427,196.426266398887
1114,4,58.2428724746171,49.5883923995112,0.380228136882129,441,195.743989537749
1114,5,49.5883923995112,37.146301914984,0.383877159309021,413,196.945844363314
1114,6,37.146301914984,22.9805038812547,0.376647834274953,430,197.454452926665
13902,1,NA,102.344185237417,1,200,200
13902,2,102.344185237417,96.9251067474149,0.387596899224806,337,194.624001096324
13902,3,96.9251067474149,89.3048947352735,0.37243947858473,447,197.118410150127
13902,4,89.3048947352735,77.5404010257782,0.363636363636364,447,197.459248866044
13902,5,77.5404010257782,60.485138034317,0.3584229390681,457,196.855289810648
13902,6,60.485138034317,43.1138903220745,0.381679389312977,436,196.587266860246
11963,1,NA,75.1244747732485,1,200,200
11963,2,75.1244747732485,66.3621736979668,0.353356890459364,376,196.770344065822
11963,3,66.3621736979668,52.6722201716839,0.407331975560081,416,195.483710474985
11963,4,52.6722201716839,36.0147431617232,0.341296928327645,489,197.017608743521
11963,5,36.0147431617232,22.0728695610448,0.37593984962406,443,198.064669177167
11963,6,22.0728695610448,11.9575877825045,0.375234521575985,493,198.639044310654
11072,1,NA,57.7414352374646,1,200,200
11072,2,57.7414352374646,53.7608614320885,0.30441400304414,434,196.947539611705
11072,3,53.7608614320885,47.300892337879,0.384615384615385,434,196.885201882336
11072,4,47.300892337879,36.7051077484938,0.383141762452107,433,197.297323618631
11072,5,36.7051077484938,25.2650245676639,0.342465753424658,480,196.582454503218
11072,6,25.2650245676639,15.2471418659543,0.422832980972516,403,199.097113440401
3002,1,NA,62.4885151876691,1,200,200
3002,2,62.4885151876691,60.0508139603301,0.361663652802893,359,196.408624609475
3002,3,60.0508139603301,55.8983185157397,0.375234521575985,436,197.137849702466
3002,4,55.8983185157397,51.5520095266007,0.391389432485323,435,197.812878401372
3002,5,51.5520095266007,43.2231411827655,0.389863547758285,448,194.245274988144
3002,6,43.2231411827655,30.0681855889692,0.368324125230203,465,195.910434451483
19771,1,NA,83.2622461903948,1,200,200
19771,2,83.2622461903948,79.7988541369805,0.309597523219814,438,195.952419754272
19771,3,79.7988541369805,74.8671050812476,0.397614314115308,430,193.986032708217
19771,4,74.8671050812476,68.1014106386922,0.36697247706422,469,194.696678664086
19771,5,68.1014106386922,55.9112225705574,0.378071833648393,421,196.435508115749
19771,6,55.9112225705574,38.1780278543638,0.349040139616056,479,197.834599300123
8115,1,NA,83.3898348611012,1,200,200
8115,2,83.3898348611012,79.6847067533796,0.393700787401575,355,196.028366277676
8115,3,79.6847067533796,73.8354084080216,0.36231884057971,461,195.624538917065
8115,4,73.8354084080216,63.7443972772125,0.371747211895911,441,197.380561807613
8115,5,63.7443972772125,50.0755187710863,0.399201596806387,420,196.042784056086
8115,6,50.0755187710863,33.9760993485354,0.352112676056338,481,196.569850989468
3525,1,NA,44.9886951076028,1,200,200
3525,2,44.9886951076028,41.7729610109427,0.347826086956522,396,197.507261369752
3525,3,41.7729610109427,36.5399692091666,0.403225806451613,404,197.156311543551
3525,4,36.5399692091666,28.6344943739192,0.353356890459364,463,196.27821663359
3525,5,28.6344943739192,19.5007903911382,0.376647834274953,458,196.994409135026
3525,6,19.5007903911382,12.848759374487,0.389863547758285,418,198.826246532342
7879,1,NA,33.1046044398931,1,200,200
7879,2,33.1046044398931,31.9286189268568,0.377358490566038,376,194.205811224861
7879,3,31.9286189268568,29.9529841472234,0.338983050847458,466,197.637035114721
7879,4,29.9529841472234,27.3029522699485,0.328407224958949,506,197.430360742892
7879,5,27.3029522699485,23.5772429224508,0.378787878787879,454,195.114142542572
7879,6,23.5772429224508,17.0846224444991,0.390625,432,194.835126195429
16441,1,NA,51.0059199673749,1,200,200
16441,2,51.0059199673749,46.6853626055541,0.37593984962406,365,194.63911533343
16441,3,46.6853626055541,40.2306657889024,0.390625,414,196.575014420016
16441,4,40.2306657889024,31.7345129824474,0.386847195357834,440,195.858453920225
16441,5,31.7345129824474,20.1535923612612,0.368324125230203,447,197.738919421705
16441,6,20.1535923612612,11.2600335937287,0.33003300330033,508,198.462856097561
16296,1,NA,108.270188410484,1,200,200
16296,2,108.270188410484,103.201918527005,0.294550810014728,451,197.959844704477
16296,3,103.201918527005,97.1209454064116,0.349040139616056,482,195.347912880551
16296,4,97.1209454064116,87.7588686946982,0.405679513184584,422,196.582084008822
16296,5,87.7588686946982,76.0805584387761,0.381679389312977,459,194.000450791881
16296,6,76.0805584387761,54.8010467836975,0.417536534446764,401,197.080808690253
12566,1,NA,78.0827145288897,1,200,200
12566,2,78.0827145288897,75.3956026835408,0.352112676056338,366,196.177755284882
12566,3,75.3956026835408,71.5802719915137,0.407331975560081,408,197.076387185674
12566,4,71.5802719915137,65.0762697413743,0.333889816360601,491,197.325111036435
12566,5,65.0762697413743,55.3614267624742,0.363636363636364,459,195.199276551834
12566,6,55.3614267624742,40.6040339467458,0.362976406533575,445,197.340097720084
5252,1,NA,31.8195060694341,1,200,200
5252,2,31.8195060694341,30.5460817698096,0.351493848857645,401,195.317100304002
5252,3,30.5460817698096,28.2050927606698,0.316957210776545,508,197.824058049566
5252,4,28.2050927606698,24.3620353006511,0.320512820512821,500,198.461474012349
5252,5,24.3620353006511,18.3864784534108,0.367647058823529,457,196.015464927441
5252,6,18.3864784534108,10.5842102569434,0.341296928327645,483,195.614370852815
19393,1,NA,87.1851342258515,1,200,200
19393,2,87.1851342258515,84.4819936775455,0.353982300884956,387,195.8541437855
19393,3,84.4819936775455,80.0403564025621,0.346020761245675,469,197.489337367591
19393,4,80.0403564025621,73.1889281158248,0.322061191626409,494,197.518861608094
19393,5,73.1889281158248,64.5419918672398,0.319488817891374,509,196.940197134458
19393,6,64.5419918672398,51.8106720176832,0.383877159309021,438,196.66952118908
16796,1,NA,62.7549515204698,1,200,200
16796,2,62.7549515204698,60.3164275180984,0.320512820512821,426,195.457399033156
16796,3,60.3164275180984,55.1254622609079,0.37243947858473,435,197.082554773389
16796,4,55.1254622609079,48.9403524902313,0.298953662182362,532,198.451777981591
16796,5,48.9403524902313,39.0594757016066,0.404040404040404,421,194.080612149837
16796,6,39.0594757016066,28.8131696476274,0.36036036036036,457,197.515198264398
8094,1,NA,70.5421658329674,1,200,200
8094,2,70.5421658329674,68.6468506416632,0.374531835205993,360,194.477358281054
8094,3,68.6468506416632,65.1855964015611,0.33955857385399,466,197.017492039639
8094,4,65.1855964015611,61.0238658677208,0.347826086956522,466,197.397192867644
8094,5,61.0238658677208,53.3722644308414,0.411522633744856,405,195.641663124464
8094,6,53.3722644308414,39.3325296861473,0.34965034965035,476,197.432887651855
322,1,NA,53.8821590913783,1,200,200
322,2,53.8821590913783,50.4448361620959,0.353356890459364,383,196.147420386866
322,3,50.4448361620959,45.1750395566877,0.328947368421053,501,196.729909434665
322,4,45.1750395566877,34.978141100186,0.388349514563107,428,196.729125454758
322,5,34.978141100186,22.8563262137757,0.333889816360601,489,196.796599509526
322,6,22.8563262137757,12.999365831346,0.362976406533575,464,199.77532995538
9923,1,NA,76.0860375175997,1,200,200
9923,2,76.0860375175997,72.9248241082329,0.311526479750779,402,197.284628591639
9923,3,72.9248241082329,69.6440087458725,0.337268128161889,481,197.139400099967
9923,4,69.6440087458725,63.3019677409939,0.394477317554241,421,196.363504979156
9923,5,63.3019677409939,54.7628335114372,0.37037037037037,460,196.270001514483
9923,6,54.7628335114372,37.7091944904929,0.4,414,195.848050529097
7459,1,NA,50.7959356798712,1,200,200
7459,2,50.7959356798712,48.2459614147263,0.326797385620915,405,196.655660158746
7459,3,48.2459614147263,44.6587649059078,0.317965023847377,509,197.387766245886
7459,4,44.6587649059078,39.9721558356907,0.351493848857645,475,198.085951524565
7459,5,39.9721558356907,33.7114598313366,0.428265524625268,408,192.724765346507
7459,6,33.7114598313366,19.9975895573193,0.420168067226891,395,195.610932638997
19024,1,NA,50.7256060562186,1,200,200
19024,2,50.7256060562186,45.2745738641446,0.335570469798658,420,196.781534865259
19024,3,45.2745738641446,38.8237297914069,0.37243947858473,454,197.027853789515
19024,4,38.8237297914069,29.6534280513317,0.4,406,196.629219498
19024,5,29.6534280513317,19.5603752482081,0.374531835205993,454,197.598644876923
19024,6,19.5603752482081,11.5620001365903,0.404040404040404,457,198.039565089844
17553,1,NA,55.1880772463863,1,200,200
17553,2,55.1880772463863,50.6297286689561,0.400801603206413,341,196.204686949396
17553,3,50.6297286689561,43.2821023967682,0.3690036900369,444,197.083042321463
17553,4,43.2821023967682,34.9727200535254,0.36036036036036,458,197.37830942842
17553,5,34.9727200535254,22.69468079557,0.421052631578947,408,197.996221638548
17553,6,22.69468079557,13.5328786887129,0.384615384615385,473,198.55204158269
9119,1,NA,65.8529411781862,1,200,200
9119,2,65.8529411781862,62.6499862807669,0.343053173241852,357,195.916936427635
9119,3,62.6499862807669,58.5382961282802,0.333333333333333,493,197.573203657545
9119,4,58.5382961282802,53.1797804910336,0.387596899224806,441,194.153448764293
9119,5,53.1797804910336,43.8430372490884,0.427350427350427,386,196.944400519268
9119,6,43.8430372490884,31.1996140220336,0.408163265306122,415,195.296530835986
16421,1,NA,35.5582635466336,1,200,200
16421,2,35.5582635466336,32.3614118495526,0.349040139616056,399,195.748787091799
16421,3,32.3614118495526,27.3592789925207,0.398406374501992,425,196.627413934048
16421,4,27.3592789925207,21.3296590046901,0.361663652802893,450,197.482295429114
16421,5,21.3296590046901,14.0657639113205,0.426439232409382,407,198.049802297218
16421,6,14.0657639113205,8.86726989863074,0.386847195357834,476,198.644038147286
