"sim_idx","method","converged","calibrated","n","prevalence","incub","true_beta","pred_beta","err_beta_pct","true_R0","pred_R0","err_R0_pct","mae","rmse","smape","pearson_r","peak_day_true","peak_day_pred","peak_day_err","peak_size_true","peak_size_pred","rel_peak_err","dieout_pred","time_sec","cpu_sec","n_evals","n_model_runs"
0,"ABC",TRUE,"beta",6967,0.24903114,20.603163,0.22056568,0.253884274870513,15.105974202085,1.44362919137314,1.66170344558444,15.1059742601085,2.66208791208791,4.82367672453878,40.6938442639225,0.979609538491378,2,2,0,98,79,19.3877549042066,0,NA,NA,NA,500
0,"ABC-SMC",TRUE,"beta",6967,0.24903114,20.603163,0.22056568,0.453617552430788,105.660985595845,1.44362919137314,2.96898203024297,105.6609860017,6.62225274725275,13.3711545771214,64.6880148934935,0.955577849070111,2,28,26,98,102,4.08163261141191,0,NA,NA,NA,500
0,"NelderMead",TRUE,"beta",6967,0.24903114,20.603163,0.22056568,10.0005,4434.02358683353,1.44362919137314,65.4544883334844,4434.02360386505,13.0041208791209,34.7339278193273,96.9551830715001,0.828715797372208,2,8,6,98,268,173.469385985006,0,NA,NA,NA,500
0,"DE",TRUE,"beta",6967,0.24903114,20.603163,0.22056568,0.214466691712517,2.76515741697956,1.44362919137314,1.40371057153322,2.7651574276008,2.22252747252747,3.89332339177816,40.4647237440245,0.984029577530565,2,2,0,98,79,19.3877549042066,0,NA,NA,NA,500
0,"BiLSTM",TRUE,"beta",6967,0.24903114,20.603163,0.22056568,0.177701741456985,19.43363915396,1.44362919137314,1.1630795023285,19.4336392286065,2.6717032967033,4.97652456070466,40.2353197084431,0.984119777354634,2,2,0,98,79,19.3877549042066,0,NA,NA,NA,500
6,"ABC",TRUE,"beta",5182,0.33423388,16.488136,0.5486803,1.62415456847579,196.011095444046,2.46613138861981,7.300022547353,196.011095721806,5.23626373626374,13.7687933505326,38.5641631400602,0.945266423205966,2,13,11,113,163,44.2477872190461,0,NA,NA,NA,500
6,"ABC-SMC",TRUE,"beta",5182,0.33423388,16.488136,0.5486803,0.754908608842694,37.5862425654487,2.46613138861981,3.39305751601849,37.5862426187107,2.37774725274725,5.98228841876374,25.5865820488765,0.985001196373712,2,16,14,113,116,2.65486723314277,0,NA,NA,NA,500
6,"NelderMead",TRUE,"beta",5182,0.33423388,16.488136,0.5486803,10.0005,1722.64608056341,2.46613138861981,44.9488471736499,1722.6460830045,7.58241758241758,22.510925308431,45.4188837622837,0.86924707978169,2,7,5,113,244,115.929202513901,0,NA,NA,NA,500
6,"DE",TRUE,"beta",5182,0.33423388,16.488136,0.5486803,0.525415981875683,4.24004982171158,2.46613138861981,2.36156618888289,4.24004982772,1.4532967032967,3.63344507002969,21.6481001387349,0.991513023369121,2,2,0,113,98,13.2743361657138,0,NA,NA,NA,500
6,"BiLSTM",TRUE,"beta",5182,0.33423388,16.488136,0.5486803,0.536971747875214,2.13394796631971,2.46613138861981,2.41350542790967,2.13394796934366,1.44642857142857,3.65802970445585,21.2176621904393,0.99129856462259,2,2,0,113,98,13.2743361657138,0,NA,NA,NA,500
