"sim_idx","method","converged","true_beta","true_R0","pred_beta","pred_R0","n","prevalence","recov","incub","mae","rmse","smape","pearson_r","peak_day_true","peak_day_pred","peak_day_err","peak_size_true","peak_size_pred","rel_peak_err","total_true","total_pred","dieout_pred","err_beta_pct","err_R0_pct","time_sec","cpu_sec","n_evals","n_model_runs"
2585,"Oracle",TRUE,0.6015245,2.8415031,0.6015245,2.8415031,5115,0.32864127,0.21169233,6.986592,1.06593406593407,3.76708561967127,5.5222891559196,0.99588246384669,11,2,9,225,205,8.88888884938272,4612,4623,0,0,0,NA,NA,NA,NA
2585,"ABC",TRUE,0.6015245,2.8415031,0.0511466621070563,0.24160848013273,5115,0.32864127,0.21169233,6.986592,7.91895604395604,26.868230044316,27.3684413183216,0.851957831154597,11,2,9,225,205,8.88888884938272,4612,1729.5,0,91.4970085047007,91.497127168223,NA,NA,NA,NA
2585,"ABC-SMC",TRUE,0.6015245,2.8415031,0.614423271371057,2.90243520571131,5115,0.32864127,0.21169233,6.986592,1.07417582417582,3.74330904913856,5.74184906234979,0.995943303251311,11,2,9,225,205,8.88888884938272,4612,4641,0,2.1443432358324,2.14436099920847,NA,NA,NA,NA
2585,"NelderMead",TRUE,0.6015245,2.8415031,0.543103825201763,2.56553378765194,5115,0.32864127,0.21169233,6.986592,1.15384615384615,4.42504733941276,5.26631435143881,0.995058955332195,11,2,9,225,205,8.88888884938272,4612,4538,0,9.71208615399297,9.7120856643515,NA,NA,NA,NA
2585,"DE",TRUE,0.6015245,2.8415031,0.634682151028337,2.99813484517052,5115,0.32864127,0.21169233,6.986592,1.09065934065934,3.79632558035898,6.38133215781119,0.99596587014798,11,2,9,225,205,8.88888884938272,4612,4666,0,5.51226024970463,5.51228291982827,NA,NA,NA,NA
2585,"BiLSTM",TRUE,0.6015245,2.8415031,0.612824201583862,2.92947292327881,5115,0.32864127,0.21169233,6.986592,1.07005494505495,3.7360546563995,6.07217490416502,0.995957934363264,11,2,9,225,205,8.88888884938272,4612,4639.5,0,1.87850749201194,3.0958893664383,NA,NA,NA,NA
3350,"Oracle",TRUE,0.5494768,3.6872847,0.5494768,3.6872847,6397,0.05690167,0.14901936,8.059767,1.35576923076923,3.94022995368444,10.5551981971772,0.995651487451416,31,29,2,198,179,9.59595954749515,6158,6161.5,0,0,0,NA,NA,NA,NA
3350,"ABC",TRUE,0.5494768,3.6872847,0.522447458123764,3.5059032472275,6397,0.05690167,0.14901936,8.059767,1.79807692307692,5.15601377247754,10.2467944939857,0.992877867224075,31,29,2,198,170.5,13.888888818743,6158,6116.5,0,4.91909625397713,4.91910493327112,NA,NA,NA,NA
3350,"ABC-SMC",TRUE,0.5494768,3.6872847,0.552189339261316,3.70548725522185,6397,0.05690167,0.14901936,8.059767,1.36126373626374,3.95606017243319,10.3357534341677,0.995620264180415,31,29,2,198,180,9.09090904499541,6158,6156.5,0,0.493657662114099,0.493657305205558,NA,NA,NA,NA
3350,"NelderMead",TRUE,0.5494768,3.6872847,0.530616268051449,3.56072035238541,6397,0.05690167,0.14901936,8.059767,1.58104395604396,4.69765840664203,9.11970298024256,0.993977785727524,31,30,1,198,174,12.1212120599939,6158,6124.5,0,3.43244657901574,3.43245297251011,NA,NA,NA,NA
3350,"DE",TRUE,0.5494768,3.6872847,0.549278547636165,3.68595427893506,6397,0.05690167,0.14901936,8.059767,1.34752747252747,3.91364547182303,10.1979011367795,0.995708481475108,31,28,3,198,178.5,9.84848479874503,6158,6153.5,0,0.0360801407873024,0.0360813121950404,NA,NA,NA,NA
3350,"BiLSTM",TRUE,0.5494768,3.6872847,0.554773449897766,3.74094724655151,6397,0.05690167,0.14901936,8.059767,1.36675824175824,3.95276019849588,10.4787440923063,0.995640370252174,31,28,3,198,180.5,8.83838379374554,6158,6154.5,0,0.963942473702509,1.45534007716065,NA,NA,NA,NA
3974,"Oracle",TRUE,0.19155811,1.1229231,0.19155811,1.1229231,5161,0.36097655,0.17058879,16.97857,1.44642857142857,3.28133666813851,24.8754022640446,0.987304108963127,10,2,8,96,103,7.29166659071181,3594,3523.5,0,0,0,NA,NA,NA,NA
3974,"ABC",TRUE,0.19155811,1.1229231,0.000438558543498523,0.00257085206770341,5161,0.36097655,0.17058879,16.97857,5.3228021978022,11.1704759507835,64.171527246715,0.889710483284031,10,2,8,96,102,6.24999993489583,3594,1728.5,0,99.7705363407157,99.7709683078577,NA,NA,NA,NA
3974,"ABC-SMC",TRUE,0.19155811,1.1229231,0.202989021331358,1.1899317729574,5161,0.36097655,0.17058879,16.97857,1.45467032967033,3.18791071475892,25.4557708731987,0.988124355192215,10,2,8,96,102,6.24999993489583,3594,3621.5,0,5.96730238063749,5.9673376818077,NA,NA,NA,NA
3974,"NelderMead",TRUE,0.19155811,1.1229231,0.175484467753941,1.02869870730627,5161,0.36097655,0.17058879,16.97857,1.52197802197802,3.5322299403703,25.0759861156919,0.98592837844279,10,2,8,96,102,6.24999993489583,3594,3371,0,8.39095684149869,8.39098499121444,NA,NA,NA,NA
