"sim_idx","method","converged","calibrated","n","prevalence","incub","true_beta","pred_beta","err_beta_pct","true_R0","pred_R0","err_R0_pct","mae","rmse","smape","pearson_r","peak_day_true","peak_day_pred","peak_day_err","peak_size_true","peak_size_pred","rel_peak_err","dieout_pred","time_sec","cpu_sec","n_evals","n_model_runs","opt_status","opt_value"
10650,"DE",TRUE,"beta",6173,0.3149198,7.4746494,0.6063409,0.545594847104541,10.0184653212861,4.50184067053672,4.05082532339561,10.0184653355836,1.46978021978022,4.93613053062666,11.6885372046284,0.995564804938818,12,12,0,253,247,2.3715414926026,0,96.685,96.24,1020,3061,0,21.8305860805861
2041,"DE",TRUE,"beta",5780,0.34515572,6.4338045,0.29791325,0.331689453642177,11.3375969443456,3.61174148088514,4.02122617403415,11.3375969792632,1.62087912087912,5.48724795411052,16.8680363460697,0.992943837845456,2,2,0,264,250,5.30303028294307,0,120.172,119.626,1210,3631,1,20.4276556776557
8668,"DE",TRUE,"beta",7349,0.06463464,4.540001,0.6315374,0.616223812388898,2.42481088006091,2.99599367097645,2.92334649036165,2.4248108830911,2.0467032967033,6.42218852841502,9.99249191888359,0.993365892169245,24,23,1,277,271,2.16606497412973,0,82.018,81.648,760,2281,0,27.1913919413919
1114,"DE",TRUE,"beta",9545,0.17035097,12.824818,0.40006652,0.382864238789724,4.29985522589519,2.25599020882597,2.15898589569362,4.29985523473707,3.07692307692308,7.66073189628858,24.7184762493141,0.984881203154694,21,22,1,172,162,5.81395345457004,0,113.164,112.661,540,1621,0,38.1941391941392
13902,"DE",TRUE,"beta",9999,0.09380938,9.196001,0.3360831,0.328391918137053,2.28847622509511,4.42153227413826,4.32034655895863,2.28847623138679,2.62637362637363,7.27746786056376,14.9627047002856,0.992818268306116,32,32,0,252,258,2.38095237150416,0,140.652,140.012,600,1801,0,42.3305860805861
11963,"DE",TRUE,"beta",6583,0.25824094,3.6140294,0.7506447,0.693070588802279,7.66995505610335,4.01988541277631,3.71156200789876,7.66995506441317,1.14835164835165,5.53758387429348,4.79225552217251,0.996626599168194,7,5,2,409,380,7.09046453034116,0,20.9699999999999,20.875,250,751,0,21.1968864468864
11072,"DE",TRUE,"beta",6392,0.06289111,10.991769,0.5468721,0.538546854153052,1.52233873911741,3.13081318161921,3.08315159961888,1.52233874141488,2.44230769230769,6.03037184719024,17.1971457926911,0.985047376627823,42,40,2,142,153,7.74647881868677,0,31.341,31.213,260,781,0,24.3727106227106
3002,"DE",TRUE,"beta",7773,0.15695356,11.307925,0.24962963,0.25772499348038,3.2429497443673,2.03561819303736,2.10163226828921,3.24294975576524,2.64010989010989,5.87156492983555,30.6157813671182,0.983767765907687,30,27,3,126,112,11.1111110229277,0,63.797,63.531,350,1051,0,30.1135531135531
19771,"DE",TRUE,"beta",9138,0.1443423,9.800742,0.22476448,0.219397930327608,2.38763244464434,3.16107798767952,3.08560306370938,2.38763245451184,3.16208791208791,7.24815247395599,21.556078347097,0.987742020587033,34,33,1,168,172,2.38095236678005,0,124.656,124.089,540,1621,0,35.6071428571429
8115,"DE",TRUE,"beta",8972,0.062304948,12.14071,0.33156154,0.34227163454733,3.2301980848043,3.84693747792627,3.97120117903665,3.230198093707,2.31043956043956,5.34959174780019,18.6477282927702,0.993415462889382,44,46,2,191,188,1.57068062004879,0,74.28,73.939,340,1021,0,35.7957875457875
