"r0_bin","regime","win_lab","overall_mae","peak_mae_day","peak_mae"
"R0 ~ 1.5","early","15 days",6.165,26,35.033
"R0 ~ 1.5","early","30 days",4.72,34,22.667
"R0 ~ 1.5","early","60 days",2.857,21,12.267
"R0 ~ 1.5","early","180 days",2.783,32,11.333
"R0 ~ 1.5","mid","15 days",7.618,30,48.133
"R0 ~ 1.5","mid","30 days",5.882,21,38.733
"R0 ~ 1.5","mid","60 days",4.998,23,32.7
"R0 ~ 1.5","mid","180 days",3.618,32,15.833
"R0 ~ 1.5","late","15 days",11.424,23,81.6
"R0 ~ 1.5","late","30 days",10.11,28,70.233
"R0 ~ 1.5","late","60 days",9.848,28,73.467
"R0 ~ 1.5","late","180 days",6.33,19,48.667
"R0 ~ 2.0","early","15 days",4.381,30,23.467
"R0 ~ 2.0","early","30 days",3.647,27,19.2
"R0 ~ 2.0","early","60 days",2.864,33,15.533
"R0 ~ 2.0","early","180 days",2.53,29,12.567
"R0 ~ 2.0","mid","15 days",5.51,20,37.067
"R0 ~ 2.0","mid","30 days",4.935,22,32.233
"R0 ~ 2.0","mid","60 days",5.212,26,32.267
"R0 ~ 2.0","mid","180 days",3.936,24,21.267
"R0 ~ 2.0","late","15 days",9.561,24,69.133
"R0 ~ 2.0","late","30 days",6.74,24,43.7
"R0 ~ 2.0","late","60 days",8.847,24,68.567
"R0 ~ 2.0","late","180 days",6.892,19,50.733
"R0 ~ 3.0","early","15 days",4.658,16,30.6
"R0 ~ 3.0","early","30 days",3.079,26,23.9
"R0 ~ 3.0","early","60 days",2.425,15,15.067
"R0 ~ 3.0","early","180 days",2.099,27,13.833
"R0 ~ 3.0","mid","15 days",3.198,18,23.2
"R0 ~ 3.0","mid","30 days",3.461,20,22.7
"R0 ~ 3.0","mid","60 days",3.519,19,26.433
"R0 ~ 3.0","mid","180 days",2.87,17,22.867
"R0 ~ 3.0","late","15 days",4.974,30,35.8
"R0 ~ 3.0","late","30 days",4.333,16,28.733
"R0 ~ 3.0","late","60 days",5.171,21,41.833
"R0 ~ 3.0","late","180 days",5.147,16,47.7
