"sim_idx","method","converged","calibrated","n","prevalence","incub","true_beta","pred_beta","err_beta_pct","true_R0","pred_R0","err_R0_pct","mae","rmse","smape","pearson_r","peak_day_true","peak_day_pred","peak_day_err","peak_size_true","peak_size_pred","rel_peak_err","dieout_pred","time_sec","cpu_sec","n_evals","n_model_runs","opt_status","opt_value"
10650,"NelderMead",TRUE,"beta",6173,0.3149198,7.4746494,0.6063409,10.0005,1549.3197118167,4.50184067053672,74.2497456887742,1549.31971402775,10.4450549450549,41.7414201225372,25.2027407187955,0.831417199505798,12,5,7,253,575,127.272726769673,0,0.553,0.551,6,19,0,1918.50274725275
2041,"NelderMead",TRUE,"beta",5780,0.34515572,6.4338045,0.29791325,10.0005,3256.84967601525,3.61174148088514,121.240732594444,3256.84968604572,11.5027472527473,45.5556958960285,37.8329666325877,0.810971403494454,2,5,3,264,604,128.787878300046,0,0.576000000000008,0.573000000000008,6,19,0,2137.14835164835
8668,"NelderMead",TRUE,"beta",7349,0.06463464,4.540001,0.6315374,10.0005,1483.51666665582,2.99599367097645,47.4420591822432,1483.51666850971,26.4285714285714,105.109728118072,34.7789001497653,0.348346954754556,24,6,18,277,1056,281.227435807843,0,0.528999999999996,0.526000000000015,6,19,0,11002.3562271062
1114,"NelderMead",TRUE,"beta",9545,0.17035097,12.824818,0.40006652,10.0005,2399.70929234541,2.25599020882597,56.393197019746,2399.70929727998,22.6126373626374,65.5722276041239,68.0153007276002,0.67935152944411,21,8,13,172,567,229.651161455517,0,0.95799999999997,0.953999999999951,6,19,0,4509.20512820513
13902,"NelderMead",TRUE,"beta",9999,0.09380938,9.196001,0.3360831,10.0005,2875.60334668538,4.42153227413826,131.567262702349,2875.60335459124,32.8406593406593,101.0409828722,50.0191469113315,0.399566068167285,32,7,25,252,813,222.619046735639,0,1.13099999999997,1.12700000000001,6,19,0,10210.1639194139
11963,"NelderMead",TRUE,"beta",6583,0.25824094,3.6140294,0.7506447,10.0005,1232.25479213767,4.01988541277631,53.5551161161458,1232.25479347273,14.0549450549451,73.1972722124306,20.0025895857692,0.750901716986175,7,4,3,409,1061,159.413202544222,0,0.526000000000067,0.523000000000025,6,19,0,5552.72985347985
11072,"NelderMead",TRUE,"beta",6392,0.06289111,10.991769,0.5468721,10.0005,1728.67255117116,3.13081318161921,57.2523213796845,1728.67255378003,20.2692307692308,58.6292598442971,52.7665336325801,0.417502721087754,42,9,33,142,414,191.549294425709,0,0.590000000000032,0.586000000000013,6,19,0,3403.94505494505
3002,"NelderMead",TRUE,"beta",7773,0.15695356,11.307925,0.24962963,10.0005,3906.13499324525,2.03561819303736,81.5496130786644,3906.13500697408,21.0302197802198,62.9159346681334,73.9236503556153,0.60338959958883,30,8,22,126,522,314.285711791383,0,0.80600000000004,0.802000000000021,6,19,0,3879.83241758242
19771,"NelderMead",TRUE,"beta",9138,0.1443423,9.800742,0.22476448,10.0005,4349.32400195385,3.16107798767952,140.646602237992,4349.32401992854,28.3543956043956,82.2601909248271,67.1172720973269,0.507161232639094,34,6,28,168,658,291.666664930556,0,1.04599999999994,1.04100000000005,6,19,0,6966.6510989011
8115,"NelderMead",TRUE,"beta",8972,0.062304948,12.14071,0.33156154,10.0005,2916.18214550402,3.84693747792627,116.030641696265,2916.18215354127,31.6401098901099,83.4904580979563,66.842226226564,0.30544832906146,44,9,35,191,563,194.76439688605,0,1.05400000000009,1.04999999999995,6,19,0,6940.91483516484
3525,"NelderMead",TRUE,"beta",6227,0.1833949,11.606041,0.39506066,10.0005,2431.38340215555,2.23687470408427,56.6238751238727,2431.38340722305,15.0247252747253,46.6072260114622,62.0474662171429,0.675685247636691,20,8,12,115,428,272.173910676749,0,0.613000000000056,0.611000000000014,6,19,0,2080.05311355311
7879,"NelderMead",TRUE,"beta",5588,0.18020758,19.273281,0.22949857,10.0005,4257.54347289596,1.33509957345194,58.1775445672976,4257.54348825853,11.7994505494505,32.9369611013737,83.4633380531441,0.755366300765857,3,9,6,53,247,366.037728942684,0,0.581999999999994,0.579999999999927,6,19,0,1078.80311355311
16441,"NelderMead",TRUE,"beta",6790,0.2611193,7.6740437,0.6085969,10.0005,1543.20586985703,2.54140961175532,41.7605919819162,1543.20587178549,12.5274725274725,49.7845357515765,32.9095046430284,0.807046403674944,11,5,6,219,634,189.497716029691,0,0.534999999999968,0.533000000000015,6,19,0,2541.25274725275
16296,"NelderMead",TRUE,"beta",8680,0.062903225,6.156307,0.15764776,10.0005,6243.57249196835,1.50899828992122,95.7244010213474,6243.57252743536,31.3736263736264,108.704205970167,120.422649245766,0.319142103261594,3,7,4,76,970,1176.31577399585,0,0.864000000000033,0.8599999999999,6,19,0,11855.6712454212
12566,"NelderMead",TRUE,"beta",7201,0.05832523,8.849627,0.21987411,10.0005,4448.28445036897,2.18217433793084,99.251496533527,4448.28446856155,27.0274725274725,78.2691889191777,79.7292696546995,0.23377326960556,49,8,41,102,595,483.333328594771,0,0.69399999999996,0.691000000000031,6,19,0,6122.81684981685
5252,"NelderMead",TRUE,"beta",6373,0.27538052,19.963245,0.2691622,10.0005,3615.41767894817,1.09740682066441,40.7732471723536,3615.41768908577,10.7994505494505,31.7300166410917,70.0691376353711,0.874006805639448,5,9,4,94,263,179.787232129923,0,0.659000000000106,0.656999999999925,6,19,0,1014.83333333333
19393,"NelderMead",TRUE,"beta",9579,0.031422906,13.178154,0.15623654,10.0005,6300.87135633654,1.34473641820783,86.0748487536103,6300.87139198001,33.3791208791209,87.4866394823352,172.860790258492,0.125217869272477,125,11,114,40,562,1304.999967375,0,1.08100000000013,1.07600000000002,6,19,0,7589.02197802198
16796,"NelderMead",TRUE,"beta",8831,0.06647039,20.1529,0.267366,10.0005,3640.37834414107,3.42482300482534,128.101338463962,3640.37835669384,28.7032967032967,62.8213059679316,97.9972898871982,0.305102448194878,61,11,50,123,348,182.926827781083,0,1.083,1.079,6,19,0,3942.43315018315
8094,"NelderMead",TRUE,"beta",7643,0.05534476,12.126341,0.13486674,10.0005,7315.09724847581,1.07105608825963,79.4198511111076,7315.09729588546,21.771978021978,70.3762064874233,140.15867760904,0.545495940033005,2,11,9,30,480,1499.99995,0,0.713999999999999,0.710999999999984,6,19,0,4933.26556776557
322,"NelderMead",TRUE,"beta",5883,0.03535611,13.114808,0.6448979,10.0005,1450.7105831005,3.70976923653057,57.5277842429383,1450.71058495897,21.0164835164835,55.5790695049221,59.9061756977342,0.255197129803375,47,10,37,137,362,164.233575443551,0,0.53000000000003,0.52800000000002,6,19,0,2923.89835164835
9923,"NelderMead",TRUE,"beta",7924,0.09704695,9.533424,0.17138982,10.0005,5734.94395562733,1.27978329308696,74.6746383333394,5734.94398460755,23.4313186813187,75.5312867275891,115.117341517148,0.586922530796702,2,8,6,75,622,729.333323608889,0,0.668000000000006,0.664999999999964,6,19,0,5739.72802197802
7459,"NelderMead",TRUE,"beta",5471,0.030890148,13.0361805,0.32341215,10.0005,2992.18437528651,1.96897339611407,60.8842878903553,2992.18438301876,20.8324175824176,51.3003705832426,97.0266140883613,0.102246765807807,76,10,66,64,323,404.687493676758,0,0.476999999999975,0.475999999999999,6,19,0,2612.18956043956
19024,"NelderMead",TRUE,"beta",7292,0.15277016,12.522949,0.77110666,10.0005,1196.90229728154,3.51579275358103,45.5963970434221,1196.90229849329,16.5082417582418,50.0369369061002,46.0019009902421,0.667113581617426,25,8,17,184,440,139.130434026465,0,0.649000000000001,0.647000000000048,6,19,0,2600.03571428571
17553,"NelderMead",TRUE,"beta",9441,0.10020125,19.807846,0.78594595,10.0005,1172.41574160104,4.3020662723601,54.7401685277941,1172.41574282024,21.4945054945055,55.3845199938128,59.239026232672,0.611285990277372,38,9,29,202,401,98.5148509974512,0,0.992999999999938,0.988999999999919,6,19,0,3001.44047619048
9119,"NelderMead",TRUE,"beta",8648,0.16339038,12.158752,0.2592331,10.0005,3757.72494423851,2.22480958722436,85.8270347306621,3757.72495704504,22.8516483516484,66.8399761937601,72.1358635546283,0.612304338024369,31,7,24,138,556,302.898548529721,0,0.934999999999945,0.93100000000004,6,19,0,4340.78205128205
16421,"NelderMead",TRUE,"beta",6554,0.11168752,20.832047,0.9568296,10.0005,945.170424341836,4.49150321004864,46.9438632041603,945.170425119216,14.1153846153846,35.8832049238135,53.2999746624897,0.648906364104183,35,10,25,132,250,89.3939387167126,0,0.673999999999978,0.670999999999935,6,19,0,1276.66391941392
16060,"NelderMead",TRUE,"beta",6916,0.10005784,13.408645,0.28923443,10.0005,3357.57590699843,1.38644958626692,47.9375470183905,3357.57591618522,18.8846153846154,55.2475945476064,99.0500354747278,0.569378889182996,20,10,10,60,400,566.666657222222,0,0.641999999999939,0.639999999999986,6,19,0,2999.87362637363
10120,"NelderMead",TRUE,"beta",7876,0.14029965,20.822979,0.68858665,10.0005,1352.32266505265,4.6361257476874,67.3315051050551,1352.32266672487,15.9945054945055,41.2982318755168,54.4777637512501,0.68138351457546,35,10,25,162,325,100.617283329523,0,0.854000000000042,0.851000000000113,6,19,0,1672.54945054945
19055,"NelderMead",TRUE,"beta",6940,0.12752162,16.70288,0.45927727,10.0005,2077.44282864806,4.8072596457943,104.675330629286,2077.4428327392,16.760989010989,44.9858646907895,53.5340025800321,0.596752983247272,31,8,23,160,315,96.8749993945313,0,0.782999999999902,0.779999999999973,6,19,0,2051.94047619048
3649,"NelderMead",TRUE,"beta",9852,0.048010558,5.3341126,1.001591,10.0005,898.461446939458,4.14897076349453,41.4258735555002,898.461447619942,32.3681318681319,128.255775527046,28.8169125356789,0.416566608227858,19,7,12,488,1214,148.770491498421,0,0.77599999999984,0.772999999999935,6,19,0,16446.9029304029
3941,"NelderMead",TRUE,"beta",8602,0.14938386,11.177471,0.38998368,10.0005,2464.33807059737,1.86597624570251,47.8499393747656,2464.33807559578,21.9972527472527,68.4598021140472,66.1379903267756,0.638173843252366,29,7,22,133,581,336.84210273051,0,0.703999999999951,0.701000000000022,6,19,0,4510.84706959707
17880,"NelderMead",TRUE,"beta",6904,0.025057938,17.678532,0.24482584,10.0005,3984.74038530925,2.5810831318876,105.43054548671,3984.74040004124,27.5879120879121,57.54324699498,114.983962860172,0.0409609148995275,89,14,75,80,308,284.9999964375,0,0.841999999999871,0.838999999999942,6,19,0,3291.96611721612
16675,"NelderMead",TRUE,"beta",8083,0.18767785,10.562332,0.7344563,10.0005,1261.61947108137,4.43880282383885,60.4396036085474,1261.61947251491,16.1620879120879,54.7787006413628,30.5229773528537,0.74309575316089,18,7,11,267,578,116.479400312811,0,0.662000000000035,0.660000000000082,6,19,0,3065.0815018315
12630,"NelderMead",TRUE,"beta",7812,0.23694317,11.388965,0.47559398,10.0005,2002.73897494931,4.07706976703915,85.7301351990936,2002.73897866911,16.0961538461538,52.4120665999226,37.3515555964221,0.738043239330448,24,7,17,202,515,154.950494282423,0,0.719000000000051,0.716000000000122,6,19,0,2658.46794871795
11443,"NelderMead",TRUE,"beta",7398,0.117058665,4.7523165,0.12820458,10.0005,7700.42329454671,1.44192678625234,112.476393791209,7700.42334926989,24.3818681318681,100.352058844279,95.8859380045123,0.504662956655244,2,6,4,143,1053,636.363631913541,0,0.608999999999924,0.606999999999971,6,19,0,9912.21886446886
12157,"NelderMead",TRUE,"beta",9630,0.044132918,18.264526,0.23801066,10.0005,4101.70254516456,3.06933481879046,128.964319729688,4101.70256106149,36.4203296703297,76.7663251778974,110.899222476314,0.129833138107371,64,11,53,120,431,259.166664506944,0,1.26099999999997,1.25700000000006,6,19,0,5951.42673992674
13835,"NelderMead",TRUE,"beta",7886,0.07443571,5.7769575,0.29785565,10.0005,3257.49883120398,1.86207974201323,62.5193057778266,3257.49884039109,27.2554945054945,98.9310032628468,64.8876944895808,0.388771136612039,24,7,17,116,945,714.655166252973,0,0.614000000000033,0.610999999999876,6,19,0,9639.44139194139
3434,"NelderMead",TRUE,"beta",6566,0.15108132,8.033679,0.12112534,10.0005,8156.32350624301,1.42584205963882,117.722134091991,8156.32356786053,19.032967032967,66.3260345350365,78.3495856372827,0.612131169613644,2,6,4,96,596,520.833327907986,0,0.623,0.62,6,19,0,4313.41117216117
18739,"NelderMead",TRUE,"beta",5510,0.07949183,20.891909,0.43071765,10.0005,2221.82265523174,1.87519942496821,43.538805176418,2221.82265920532,16.0934065934066,36.1523789742045,105.679260081616,0.394093308579825,73,10,63,50,214,327.99999344,0,0.564,0.562000000000005,6,19,0,1310.41483516484
17407,"NelderMead",TRUE,"beta",8534,0.15807359,3.2851393,0.79230595,10.0005,1162.20180327789,4.04508709150569,51.0571622724815,1162.20180445743,23.2252747252747,118.418168527311,23.2516611005295,0.603257181628397,11,5,6,546,1489,172.710622394303,0,0.542999999999992,0.540999999999997,6,19,0,14031.2216117216
15440,"NelderMead",TRUE,"beta",5922,0.31779805,10.859252,0.59052354,10.0005,1593.49726245715,2.47950642615839,41.9903735163496,1593.49726451293,9.24175824175824,33.3573722843135,31.4402078603661,0.855158577781157,12,6,6,176,423,140.340908293518,0,0.455999999999989,0.454000000000008,6,19,0,1143.32875457875
10406,"NelderMead",TRUE,"beta",5734,0.1149285,4.7598543,0.685911,10.0005,1357.98798771562,4.1326746224348,60.2538996482915,1357.98798936686,17.0769230769231,72.2753054661119,27.5828447800626,0.518074707405554,18,5,13,275,781,183.999999330909,0,0.415999999999997,0.413999999999987,6,19,0,5343.85256410256
6517,"NelderMead",TRUE,"beta",9155,0.0737302,3.88009,0.35577443,10.0005,2710.91026493694,1.49141852899177,41.9224366382436,2710.91027073901,29.206043956044,133.962240456525,55.188375162669,0.47341949410343,19,6,13,160,1462,813.749994914063,0,0.673999999999978,0.670999999999992,6,19,0,17758.1529304029
971,"NelderMead",TRUE,"beta",9663,0.2000414,16.933086,0.2088396,10.0005,4688.60328841559,1.73024784580251,82.8547056302923,4688.60330815654,21.8543956043956,58.7558507724975,91.1646754147814,0.72261653815524,3,9,6,114,460,303.508769267467,0,1.05700000000002,1.053,6,19,0,3485.85073260073
16487,"NelderMead",TRUE,"beta",9889,0.12549298,6.0460005,0.2627783,10.0005,3705.67952640808,2.25902136838453,85.971114032359,3705.67953886961,32.2142857142857,115.252732322025,62.7460510244079,0.480173052249219,21,6,15,201,1123,458.70646537957,0,0.901999999999987,0.899999999999977,6,19,0,13231.2097069597
19730,"NelderMead",TRUE,"beta",6031,0.22052728,11.486516,0.3650243,10.0005,2639.68061129168,3.25810672329385,89.2617184288831,2639.68061771302,13.760989010989,41.8993757985449,44.4389406191526,0.712213538844117,26,7,19,138,393,184.782607356648,0,0.590999999999951,0.588000000000022,6,19,0,1845.55402930403
13137,"NelderMead",TRUE,"beta",6174,0.21590541,14.494651,0.6967656,10.0005,1335.27464424869,2.89927983792525,41.6126284351172,1335.27464570453,11.1868131868132,33.8910666047027,40.5501549434079,0.780832134298032,21,9,12,136,332,144.117645999135,0,0.61099999999999,0.610000000000014,6,19,0,1165.17124542125
3669,"NelderMead",TRUE,"beta",8582,0.12584479,18.053019,0.44295385,10.0005,2157.68440175498,4.88486809493035,110.284905263496,2157.6844061844,21.3681318681319,54.6642097187531,52.0926311709965,0.573136968900839,40,8,32,171,386,125.730993416778,0,1.02800000000002,1.024,6,19,0,2984.98351648352
15983,"NelderMead",TRUE,"beta",8294,0.10248372,3.4359462,0.16824424,10.0005,5844.03703898548,1.17542142833439,69.8674854726561,5844.03706874905,24.8736263736264,127.379764466749,77.2517126673029,0.605727024953763,2,5,3,172,1431,731.976739930368,0,0.752999999999929,0.749999999999934,6,19,0,16592.0485347985
4058,"NelderMead",TRUE,"beta",8728,0.20050412,6.6091247,0.6656327,10.0005,1402.4051531687,4.46836937904934,67.1330119075925,1402.40515496172,18.8131868131868,76.2360057415692,29.2632102958344,0.727757413349819,11,5,6,361,896,148.199445572855,0,0.754000000000019,0.75100000000009,6,19,0,5836.31684981685
14976,"NelderMead",TRUE,"beta",8916,0.042844325,13.566903,0.706087,10.0005,1316.32688136685,3.05310797715571,43.2419890545296,1316.32688279996,29.4258241758242,76.7626747954906,64.305842683516,0.327720238083533,43,10,33,174,476,173.563217393315,0,0.899999999999977,0.896000000000072,6,19,0,6001.36538461538
15698,"NelderMead",TRUE,"beta",6085,0.026458504,11.994226,0.2853155,10.0005,3405.06718560658,3.74820646306503,131.377155233003,3405.06719663251,26.1373626373626,63.8663611607244,80.0751911035678,0.0540541617450703,56,11,45,112,418,273.214283274872,0,0.75,0.747000000000071,6,19,0,4066.54853479854
13829,"NelderMead",TRUE,"beta",6211,0.08501047,16.59698,0.1378967,10.0005,7152.16769399001,1.67985365066881,121.825804631391,7152.16774159852,20.1593406593407,47.6100229543558,135.38531654644,0.365524934641447,48,10,38,46,310,573.913031001891,0,0.765999999999963,0.76299999999992,6,19,0,2226.52380952381
13419,"NelderMead",TRUE,"beta",7772,0.048507463,18.284008,0.5725832,10.0005,1646.55840121303,2.33774803423958,40.8301347584298,1646.55840338436,24.1208791208791,56.3461144657253,98.6113660349969,0.324570923414908,49,11,38,97,345,255.670100457009,0,0.84699999999998,0.845000000000027,6,19,0,3188.77289377289
960,"NelderMead",TRUE,"beta",5730,0.28010473,17.467508,0.41559383,10.0005,2306.31579562595,2.41530796796124,58.1199372800997,2306.31580022052,9.81318681318681,27.7678761351124,49.6980232521685,0.813642865933778,13,8,5,103,272,164.077668309926,0,0.590999999999894,0.587999999999965,6,19,0,792.151098901099
17744,"NelderMead",TRUE,"beta",8877,0.08876873,7.7860956,0.18021365,10.0005,5449.24665557106,1.47899198491378,82.0729137062053,5449.24668212433,28.6785714285714,96.40674763216,102.753587884603,0.465142352974762,3,7,4,95,820,763.157886703601,0,0.809000000000196,0.805000000000064,6,19,0,9223.68131868132
9864,"NelderMead",TRUE,"beta",8684,0.074274525,5.759742,1.0163863,10.0005,883.927074888822,4.58847994305224,45.1472965254391,883.927075565858,24.2335164835165,98.9863044139868,25.9952531709071,0.545283521689132,17,7,10,433,1012,133.718244494877,0,0.651000000000067,0.648000000000138,6,19,0,9662.34065934066
11263,"NelderMead",TRUE,"beta",9439,0.03549105,11.588707,0.44788417,10.0005,2132.83175618189,1.82390419452929,40.7247121446382,2132.83175977453,33.8434065934066,90.112521236044,102.763926123509,0.189107890527995,61,10,51,98,631,543.877545470637,0,0.904,0.901,6,19,0,8109.23534798535
15782,"NelderMead",TRUE,"beta",9511,0.120176636,12.006072,0.40095302,10.0005,2394.1824795479,4.94384222240032,123.308446822808,2394.18248503485,26.9807692307692,79.3841162455558,48.4243791959067,0.511942251301383,31,7,24,239,611,155.648534913604,0,1.042,1.03699999999999,6,19,0,6066.08791208791
17196,"NelderMead",TRUE,"beta",8122,0.022285152,19.294575,0.7411156,10.0005,1249.38462872812,3.17581151289073,42.8539124458638,1249.38463002053,29.4230769230769,63.6544586803635,95.3768639488769,0.181153017352655,60,13,47,128,345,169.531248675537,0,0.954000000000008,0.950999999999993,6,19,0,3917.83333333333
7554,"NelderMead",TRUE,"beta",5651,0.34507167,14.456458,0.47376728,10.0005,2010.84648561875,2.99867227748685,63.2973685118298,2010.84648919255,8.16483516483516,25.7188945808629,37.7268664770065,0.867499645263709,16,5,11,139,299,115.10791284095,0,0.532000000000039,0.528999999999996,6,19,0,696.909340659341
10498,"NelderMead",TRUE,"beta",6577,0.20860575,7.177213,0.82709605,10.0005,1109.1098716901,3.37340853869207,40.788215698999,1109.10987270229,12.9752747252747,52.9645589568582,24.2610407402071,0.755658499933453,14,6,8,265,668,152.075471124244,0,0.5,0.49799999999999,6,19,0,2857.56501831502
17059,"NelderMead",TRUE,"beta",6619,0.26786524,13.814231,0.7563489,10.0005,1222.2072495614,3.42599795160039,45.2987933412472,1222.20725082059,10.6153846153846,33.4289471191437,33.5434073921953,0.832288462898867,14,7,7,158,380,140.506328224643,0,0.641999999999996,0.639999999999986,6,19,0,1141.96245421245
17928,"NelderMead",TRUE,"beta",6342,0.27530748,17.480562,0.63335496,10.0005,1478.97239570213,3.68780418614756,58.2294101929329,1478.97239763623,10.1071428571429,29.5981789609124,40.4106853031459,0.81643319479408,28,8,20,152,314,106.578946667244,0,0.689999999999998,0.687000000000012,6,19,0,856.777472527472
7085,"NelderMead",TRUE,"beta",8498,0.012355848,5.213963,0.2105696,10.0005,4649.26102984827,2.0789295738438,98.7337925475708,4649.26104969135,39.0769230769231,126.190223581197,95.4190682942778,-0.0191320954517156,66,9,57,117,1132,867.521360106655,0,0.817999999999984,0.814000000000078,6,19,0,15475.2692307692
14753,"NelderMead",TRUE,"beta",8890,0.064341955,7.4506197,0.26271042,10.0005,3706.66285065258,1.84392687080965,70.1920794444771,3706.66286275169,31.1868131868132,101.310072397718,81.0315091704206,0.327231863952169,30,8,22,118,852,622.033893033611,0,0.767000000000053,0.76400000000001,6,19,0,10159.6501831502
4519,"NelderMead",TRUE,"beta",7830,0.10485313,7.2363653,0.14923555,10.0005,6601.1512565126,1.3382027107573,89.6749883585267,6601.15129581285,22.7142857142857,85.171385072481,98.3720037448097,0.595300657763489,2,7,5,103,765,642.718440361957,0,0.69399999999996,0.690999999999917,6,19,0,7332.99633699634
3024,"NelderMead",TRUE,"beta",5798,0.33011383,6.8164,0.6121355,10.0005,1533.70691369197,4.55562361017257,74.4255379953144,1533.70691586081,9.16758241758242,39.1751841724459,21.8701812479058,0.847181904055693,11,5,6,278,596,114.388488797164,0,0.455000000000041,0.453000000000088,6,19,0,1771.586996337
12121,"NelderMead",TRUE,"beta",9386,0.047624122,11.915177,0.42873138,10.0005,2232.57942949597,4.88341269864322,113.909480320245,2232.5794342462,32.2994505494505,89.2082235158684,54.5269674374236,0.318927697560364,36,10,26,232,619,166.810344108576,0,1.06899999999996,1.06500000000005,6,19,0,7913.77564102564
18494,"NelderMead",TRUE,"beta",8598,0.062107466,6.4618006,0.73385733,10.0005,1262.73081681595,4.17868079251846,56.9441709679194,1262.73081823444,27.7142857142857,102.110476693381,36.9484589606816,0.423180619943954,22,7,15,344,897,160.755813486175,0,0.711000000000013,0.707999999999994,6,19,0,10330.6291208791
