"panel","mae_medians","peak_true","peak_predicted","peak_day_true","peak_day_pred","peak_day_err"
"sim 1 | R0: 0.69->1.56
beta: 0.147->0.360 | incub=8.5d",7.6043956043956,181,184,1,1,0
"sim 10 | R0: 1.78->2.09
beta: 0.155->0.176 | incub=5.0d",1.35027472527473,428,428,1,1,0
"sim 11 | R0: 1.87->2.00
beta: 0.260->0.288 | incub=6.9d",1.39010989010989,304,303,1,1,0
"sim 12 | R0: 1.42->1.59
beta: 0.170->0.197 | incub=4.8d",1.17307692307692,310.5,309,1,1,0
"sim 13 | R0: 2.01->1.99
beta: 0.436->0.435 | incub=2.9d",0.222527472527473,185.5,185,25,24,1
"sim 14 | R0: 0.47->3.48
beta: 0.071->0.519 | incub=3.9d",11.2554945054945,205,259,1,11,10
"sim 15 | R0: 1.15->1.43
beta: 0.249->0.324 | incub=7.3d",2.99038461538462,301,302,1,1,0
"sim 2 | R0: 2.10->2.36
beta: 0.193->0.210 | incub=8.4d",0.751373626373626,275,276.5,1,1,0
"sim 3 | R0: 0.90->1.43
beta: 0.154->0.251 | incub=5.5d",4.34340659340659,256,257,1,1,0
"sim 4 | R0: 1.07->1.28
beta: 0.114->0.146 | incub=8.0d",1.74038461538462,153,154,1,1,0
"sim 5 | R0: 2.54->2.79
beta: 0.237->0.257 | incub=7.0d",1.37637362637363,229,231,1,1,0
"sim 6 | R0: 1.15->1.25
beta: 0.236->0.251 | incub=7.7d",0.741758241758242,198,199,1,1,0
"sim 7 | R0: 0.93->1.44
beta: 0.216->0.331 | incub=2.0d",5.01373626373626,210,209.5,1,1,0
"sim 8 | R0: 0.86->1.06
beta: 0.119->0.128 | incub=5.8d",0.697802197802198,67,67,1,1,0
"sim 9 | R0: 0.59->3.61
beta: 0.112->0.674 | incub=3.8d",11.1318681318681,554.5,551,1,1,0
