"window","regime","win_len","n_sims","overall_mean","peak_day","peak_mae","frac_uninformative"
"early_015d","early",15,9,7.67214611872146,30,57.8888888888889,0
"early_030d","early",30,9,6.11993911719939,22,57.1111111111111,0
"early_060d","early",60,9,3.24383561643836,23,21.6666666666667,0
"early_090d","early",90,9,2.47153729071537,30,19.2222222222222,0
"early_180d","early",180,9,2.39878234398782,30,17.6666666666667,0
"early_365d","early",365,9,2.44383561643836,30,14.2222222222222,0
"mid_015d","mid",15,9,9.24596651445967,26,58.5555555555556,0.555555555555556
"mid_030d","mid",30,9,6.83835616438356,28,51.4444444444444,0.222222222222222
"mid_060d","mid",60,9,5.85540334855403,30,43.6666666666667,0.222222222222222
"mid_090d","mid",90,9,5.93394216133942,29,51.7777777777778,0.111111111111111
"mid_180d","mid",180,9,3.79634703196347,42,23.6666666666667,0
"mid_365d","mid",365,9,2.44383561643836,30,14.2222222222222,0
"late_015d","late",15,9,8.15525114155251,28,60.7777777777778,1
"late_030d","late",30,9,7.36133942161339,24,68.6666666666667,1
"late_060d","late",60,9,8.46575342465753,23,83.7777777777778,1
"late_090d","late",90,9,7.78447488584475,21,82.4444444444444,0.888888888888889
"late_180d","late",180,9,7.72389649923896,23,78.5555555555556,0.777777777777778
"late_365d","late",365,9,2.44383561643836,30,14.2222222222222,0
