"day","window","regime","win_len","mean_mae","sd_mae"
1,"early_015d","early",15,0,0
2,"early_015d","early",15,0,0
3,"early_015d","early",15,0.888888888888889,1.36422546197874
4,"early_015d","early",15,3.22222222222222,4.29469957557504
5,"early_015d","early",15,8.11111111111111,13.109580889987
6,"early_015d","early",15,9.33333333333333,12.9903810567666
7,"early_015d","early",15,16.4444444444444,15.7806139860836
8,"early_015d","early",15,15.8888888888889,24.8618404610582
9,"early_015d","early",15,28.4444444444444,24.8852923988805
10,"early_015d","early",15,23.3333333333333,31.3608035611334
11,"early_015d","early",15,27.6666666666667,44.7744346697979
12,"early_015d","early",15,30.2222222222222,31.2920827757509
13,"early_015d","early",15,33.6666666666667,45.9565011723042
14,"early_015d","early",15,35.4444444444444,44.1223047650253
15,"early_015d","early",15,38.3333333333333,54.728877203904
16,"early_015d","early",15,41.7777777777778,53.1972221496992
17,"early_015d","early",15,47.7777777777778,54.2212545450992
18,"early_015d","early",15,39.6666666666667,55.97097462078
19,"early_015d","early",15,47.2222222222222,55.8251237745555
20,"early_015d","early",15,47.5555555555556,48.9773190137821
21,"early_015d","early",15,54.4444444444444,57.7453701847843
22,"early_015d","early",15,41.1111111111111,56.3946904514167
23,"early_015d","early",15,49.2222222222222,55.9012025312913
24,"early_015d","early",15,55,59.6405902049938
25,"early_015d","early",15,49.2222222222222,63.7961162175602
26,"early_015d","early",15,51.7777777777778,42.909141735118
27,"early_015d","early",15,52.8888888888889,47.7243241032402
28,"early_015d","early",15,56.6666666666667,56.8440850045104
29,"early_015d","early",15,66.4444444444444,58.0239414188469
30,"early_015d","early",15,51.4444444444444,47.2443412249317
31,"early_015d","early",15,53.2222222222222,43.3467927815247
32,"early_015d","early",15,51.1111111111111,44.9122601425392
33,"early_015d","early",15,55.8888888888889,40.2940580124553
34,"early_015d","early",15,47,41.3974636904243
35,"early_015d","early",15,39.5555555555556,35.2104782384133
36,"early_015d","early",15,38.5555555555556,34.3624472029828
37,"early_015d","early",15,45.4444444444444,29.8961164330382
38,"early_015d","early",15,38.5555555555556,35.9482652958078
39,"early_015d","early",15,34,30.1205909636581
40,"early_015d","early",15,32.5555555555556,32.9701043034107
41,"early_015d","early",15,32.8888888888889,30.4567088030061
42,"early_015d","early",15,29.1111111111111,26.9603618505225
43,"early_015d","early",15,37,29.0688837074973
44,"early_015d","early",15,24.8888888888889,20.4599880525652
45,"early_015d","early",15,33.8888888888889,35.8763307921966
46,"early_015d","early",15,28.4444444444444,26.3918127035219
47,"early_015d","early",15,21,21.9374109684803
48,"early_015d","early",15,32,33.1436268383531
49,"early_015d","early",15,26.1111111111111,24.9321300957441
50,"early_015d","early",15,21.6666666666667,21.2308737455621
51,"early_015d","early",15,27.3333333333333,37.1012129181783
52,"early_015d","early",15,20.6666666666667,17.8605710994918
53,"early_015d","early",15,19.2222222222222,27.0544718012465
54,"early_015d","early",15,24.4444444444444,34.4024385440593
55,"early_015d","early",15,16.3333333333333,24.4795833297873
56,"early_015d","early",15,24.5555555555556,18.5749233585977
57,"early_015d","early",15,18.4444444444444,25.986107399489
58,"early_015d","early",15,19.4444444444444,30.5127477913376
59,"early_015d","early",15,14.6666666666667,15.5884572681199
60,"early_015d","early",15,18.2222222222222,18.8731143281771
61,"early_015d","early",15,15.3333333333333,27.1293199325011
62,"early_015d","early",15,11.2222222222222,7.24185366080014
63,"early_015d","early",15,13.3333333333333,14.7817454990945
64,"early_015d","early",15,16.6666666666667,20.1183995387307
65,"early_015d","early",15,15.5555555555556,7.40120110372484
66,"early_015d","early",15,11.5555555555556,6.78437747901587
67,"early_015d","early",15,9.88888888888889,7.30486900027038
68,"early_015d","early",15,13.1111111111111,12.5343971179754
69,"early_015d","early",15,13.7777777777778,7.08480376894409
70,"early_015d","early",15,12.2222222222222,10.6744763077373
71,"early_015d","early",15,10.3333333333333,8.8175960442742
72,"early_015d","early",15,11.6666666666667,8.36660026534076
73,"early_015d","early",15,10.2222222222222,6.83333333333333
74,"early_015d","early",15,13.2222222222222,7.12000312109794
75,"early_015d","early",15,14,7.51664818918645
76,"early_015d","early",15,14,12.3389626792531
77,"early_015d","early",15,7.77777777777778,5.42627353203324
78,"early_015d","early",15,11.6666666666667,6.6332495807108
79,"early_015d","early",15,16.2222222222222,7.59568591007056
80,"early_015d","early",15,13.1111111111111,8.89444270941756
81,"early_015d","early",15,6.22222222222222,4.9187848544579
82,"early_015d","early",15,9,8.09320702811932
83,"early_015d","early",15,9,7.10633520177595
84,"early_015d","early",15,12.2222222222222,11.6165590621511
85,"early_015d","early",15,13.8888888888889,13.0042728020874
86,"early_015d","early",15,14.4444444444444,12.2587836989555
87,"early_015d","early",15,10.8888888888889,11.7201156611661
88,"early_015d","early",15,13,13.4536240470737
89,"early_015d","early",15,13.7777777777778,12.6962374128891
90,"early_015d","early",15,13.1111111111111,14.1283796350152
91,"early_015d","early",15,16.3333333333333,16.2326830807479
92,"early_015d","early",15,12.7777777777778,12.4577062272492
93,"early_015d","early",15,13.1111111111111,16.7439873121999
94,"early_015d","early",15,12,10.2591422643416
95,"early_015d","early",15,9.22222222222222,13.571825391024
96,"early_015d","early",15,11.4444444444444,13.9920612412102
97,"early_015d","early",15,9,13.9552857369529
98,"early_015d","early",15,11.7777777777778,15.3278975872246
99,"early_015d","early",15,15.1111111111111,18.5232586525997
100,"early_015d","early",15,14.3333333333333,12.5499003980111
101,"early_015d","early",15,8.11111111111111,9.08906546962399
102,"early_015d","early",15,9.11111111111111,13.6971205408696
103,"early_015d","early",15,11.3333333333333,13.5369863706809
104,"early_015d","early",15,11.8888888888889,17.4172647425223
105,"early_015d","early",15,9.77777777777778,12.813838006017
106,"early_015d","early",15,9,12.4799839743487
107,"early_015d","early",15,11.2222222222222,10.4615698843168
108,"early_015d","early",15,8.33333333333333,8.61684396980704
109,"early_015d","early",15,13,18.4323085911668
110,"early_015d","early",15,12,13.4070876777919
111,"early_015d","early",15,8.77777777777778,10.8025202820659
112,"early_015d","early",15,8.33333333333333,9.89949493661167
113,"early_015d","early",15,9.77777777777778,11.0088348359145
114,"early_015d","early",15,8,10.6183802907977
115,"early_015d","early",15,6.55555555555556,11.7058864584353
116,"early_015d","early",15,11.5555555555556,15.1749061867867
117,"early_015d","early",15,6.88888888888889,9.36008072139932
118,"early_015d","early",15,7.22222222222222,12.5775372964839
119,"early_015d","early",15,5.33333333333333,8.67467578644874
120,"early_015d","early",15,7.44444444444444,10.5961208835016
121,"early_015d","early",15,4.33333333333333,3.64005494464026
122,"early_015d","early",15,6.44444444444444,9.09822937597079
123,"early_015d","early",15,5.88888888888889,9.58442022821992
124,"early_015d","early",15,8,12.747548783982
125,"early_015d","early",15,5.88888888888889,8.6087810467633
126,"early_015d","early",15,6.22222222222222,9.37786993109013
127,"early_015d","early",15,4.55555555555556,5.24669207956573
128,"early_015d","early",15,5.33333333333333,7.76208734813001
129,"early_015d","early",15,5.33333333333333,9.68245836551854
130,"early_015d","early",15,4.55555555555556,5.12618549974323
131,"early_015d","early",15,4.66666666666667,5.91607978309962
132,"early_015d","early",15,5.55555555555556,8.24789535443908
133,"early_015d","early",15,4.22222222222222,6.11918658356194
134,"early_015d","early",15,4.88888888888889,7.33901295210133
135,"early_015d","early",15,5.44444444444444,7.43490267439849
136,"early_015d","early",15,4.66666666666667,6.26498204307083
137,"early_015d","early",15,3.44444444444444,2.74367960552572
138,"early_015d","early",15,5.11111111111111,6.60387091871965
139,"early_015d","early",15,5.33333333333333,7.26291952316697
140,"early_015d","early",15,3.66666666666667,6.57647321898295
141,"early_015d","early",15,1.77777777777778,1.48136573621926
142,"early_015d","early",15,4.55555555555556,6.32675096536744
143,"early_015d","early",15,4.33333333333333,6.76387462923434
144,"early_015d","early",15,4.11111111111111,4.67558671303518
145,"early_015d","early",15,5.33333333333333,8.8175960442742
146,"early_015d","early",15,4.55555555555556,6.63534307913146
147,"early_015d","early",15,4,3.70809924354783
148,"early_015d","early",15,2.22222222222222,3.23178657161089
149,"early_015d","early",15,4.66666666666667,5.78791845139511
150,"early_015d","early",15,3,3.77491721763537
151,"early_015d","early",15,1.88888888888889,3.17979733805649
