"day","window","regime","win_len","mean_mae","sd_mae"
1,"late_090d","late",90,0,0
2,"late_090d","late",90,0,0
3,"late_090d","late",90,1.11111111111111,1.36422546197874
4,"late_090d","late",90,5.77777777777778,5.6740148435164
5,"late_090d","late",90,10.4444444444444,17.6217983695699
6,"late_090d","late",90,20.8888888888889,20.8413317979229
7,"late_090d","late",90,14.8888888888889,18.5906189007013
8,"late_090d","late",90,30.4444444444444,37.5636496866023
9,"late_090d","late",90,30.3333333333333,35.0356960827097
10,"late_090d","late",90,38.2222222222222,46.0374243897771
11,"late_090d","late",90,39.4444444444444,42.5502970351298
12,"late_090d","late",90,41.8888888888889,49.9435792781326
13,"late_090d","late",90,47.8888888888889,53.838751017377
14,"late_090d","late",90,55.5555555555556,64.7304238961694
15,"late_090d","late",90,55.6666666666667,65.0096146735235
16,"late_090d","late",90,63.8888888888889,64.4659686277272
17,"late_090d","late",90,69.5555555555556,66.6972846357164
18,"late_090d","late",90,67.3333333333333,60.677425785872
19,"late_090d","late",90,69.6666666666667,72.6343582610874
20,"late_090d","late",90,72.4444444444444,74.5672701510373
21,"late_090d","late",90,82.4444444444444,79.3790134593381
22,"late_090d","late",90,74.4444444444444,81.5047715031321
23,"late_090d","late",90,77.3333333333333,69.3433486356118
24,"late_090d","late",90,78.8888888888889,82.5688265092287
25,"late_090d","late",90,74.7777777777778,69.8297532892996
26,"late_090d","late",90,61.8888888888889,63.9129181864755
27,"late_090d","late",90,63,67.487035792069
28,"late_090d","late",90,61.8888888888889,71.74511210606
29,"late_090d","late",90,67.3333333333333,62.5039998720082
30,"late_090d","late",90,54.2222222222222,58.5742643525674
31,"late_090d","late",90,58.4444444444444,57.0835158147935
32,"late_090d","late",90,53.3333333333333,59.0042371359888
33,"late_090d","late",90,41.4444444444444,49.3485336943032
34,"late_090d","late",90,49.8888888888889,47.2743176694398
35,"late_090d","late",90,42.7777777777778,42.8450048949051
36,"late_090d","late",90,35,45.2796863946737
37,"late_090d","late",90,32,26.6833281282527
38,"late_090d","late",90,27.3333333333333,30.5245802591944
39,"late_090d","late",90,33.5555555555556,31.2974084834156
