"day","window","regime","win_len","mean_mae","sd_mae"
1,"mid_060d","mid",60,0,0
2,"mid_060d","mid",60,0,0
3,"mid_060d","mid",60,0.222222222222222,0.440958551844098
4,"mid_060d","mid",60,2.44444444444444,3.24465372232196
5,"mid_060d","mid",60,4.33333333333333,8.70344759276461
6,"mid_060d","mid",60,8,9.19238815542512
7,"mid_060d","mid",60,4.88888888888889,5.27836254070437
8,"mid_060d","mid",60,14,17.8815547422477
9,"mid_060d","mid",60,19.1111111111111,20.6424589405214
10,"mid_060d","mid",60,16.3333333333333,20.8865985742054
11,"mid_060d","mid",60,17.5555555555556,19.8753057279071
12,"mid_060d","mid",60,16.6666666666667,19.3778223750761
13,"mid_060d","mid",60,20.8888888888889,22.8716223978779
14,"mid_060d","mid",60,25,23.6643191323985
15,"mid_060d","mid",60,24.2222222222222,35.7238637950103
16,"mid_060d","mid",60,21.6666666666667,23.9426397876258
17,"mid_060d","mid",60,29.4444444444444,25.2096762727683
18,"mid_060d","mid",60,27.2222222222222,30.9223938989924
19,"mid_060d","mid",60,30,39.8246155034798
20,"mid_060d","mid",60,37,39.0448460107093
21,"mid_060d","mid",60,37.6666666666667,44.7800178651148
22,"mid_060d","mid",60,27.2222222222222,33.297063600931
23,"mid_060d","mid",60,34.4444444444444,33.989377425569
24,"mid_060d","mid",60,35.1111111111111,42.7125404431896
25,"mid_060d","mid",60,33.4444444444444,35.8403093984661
26,"mid_060d","mid",60,36.5555555555556,34.957513895839
27,"mid_060d","mid",60,39.5555555555556,41.3736362648701
28,"mid_060d","mid",60,39,38.1018372260446
29,"mid_060d","mid",60,39.6666666666667,42.3202079389977
30,"mid_060d","mid",60,34.3333333333333,45.8312120721239
31,"mid_060d","mid",60,35.2222222222222,39.5404153296908
32,"mid_060d","mid",60,37.8888888888889,44.5068658873113
33,"mid_060d","mid",60,38,42.8748177838694
34,"mid_060d","mid",60,38.3333333333333,33.3429152894584
35,"mid_060d","mid",60,36,28.6966897045635
36,"mid_060d","mid",60,27,30.0124973969178
37,"mid_060d","mid",60,39.1111111111111,39.0782690393409
38,"mid_060d","mid",60,27.7777777777778,29.490582300871
39,"mid_060d","mid",60,29.2222222222222,31.2281034397615
40,"mid_060d","mid",60,27.4444444444444,29.4623111411474
41,"mid_060d","mid",60,27.1111111111111,33.2244053537623
42,"mid_060d","mid",60,23.2222222222222,21.8447807140389
43,"mid_060d","mid",60,26.3333333333333,21.7657988596789
44,"mid_060d","mid",60,19.3333333333333,24.6170672501823
45,"mid_060d","mid",60,19.2222222222222,17.9706550922454
46,"mid_060d","mid",60,16.7777777777778,20.0360785695316
47,"mid_060d","mid",60,22.5555555555556,28.2803426036139
48,"mid_060d","mid",60,17.2222222222222,18.178130939248
49,"mid_060d","mid",60,19.2222222222222,21.4579692525748
50,"mid_060d","mid",60,19.7777777777778,13.2926462543936
51,"mid_060d","mid",60,18.8888888888889,16.3969848176764
52,"mid_060d","mid",60,13.4444444444444,14.612589701274
53,"mid_060d","mid",60,11.2222222222222,10.8025202820659
54,"mid_060d","mid",60,15,15.6604597633658
55,"mid_060d","mid",60,16.2222222222222,13.1222880796165
56,"mid_060d","mid",60,14.8888888888889,12.2315620879392
57,"mid_060d","mid",60,13.2222222222222,10.2198064778373
58,"mid_060d","mid",60,14.3333333333333,12.9518338469886
59,"mid_060d","mid",60,12.2222222222222,10.0346621489936
60,"mid_060d","mid",60,16,16.2403817689117
61,"mid_060d","mid",60,11.8888888888889,7.27056470372908
62,"mid_060d","mid",60,9.88888888888889,10.2645560601085
63,"mid_060d","mid",60,13.6666666666667,12.737739202857
64,"mid_060d","mid",60,12.7777777777778,11.7874698067246
65,"mid_060d","mid",60,9.33333333333333,10.5356537528527
66,"mid_060d","mid",60,13.2222222222222,9.62779540935745
67,"mid_060d","mid",60,10.5555555555556,11.8965447831619
68,"mid_060d","mid",60,10.8888888888889,10.1420466924143
69,"mid_060d","mid",60,12,12.328828005938
70,"mid_060d","mid",60,8.22222222222222,6.32016174195285
71,"mid_060d","mid",60,11.5555555555556,10.3091113961281
72,"mid_060d","mid",60,7,4.87339717240448
73,"mid_060d","mid",60,11.7777777777778,15.8727579344122
74,"mid_060d","mid",60,9.66666666666667,6.98212002188447
75,"mid_060d","mid",60,12.3333333333333,17.8255434699759
76,"mid_060d","mid",60,12.6666666666667,10.4880884817015
77,"mid_060d","mid",60,11.2222222222222,12.0496657399467
78,"mid_060d","mid",60,5.66666666666667,6.74536878161602
79,"mid_060d","mid",60,10.2222222222222,11.9035475571127
80,"mid_060d","mid",60,10.1111111111111,10.2645560601085
81,"mid_060d","mid",60,9.77777777777778,9.5102284117914
82,"mid_060d","mid",60,8.88888888888889,9.33333333333333
83,"mid_060d","mid",60,8.88888888888889,12.1906156986065
84,"mid_060d","mid",60,6.44444444444444,6.38574802022267
85,"mid_060d","mid",60,8.33333333333333,7.56637297521078
86,"mid_060d","mid",60,6.44444444444444,3.46810867444747
87,"mid_060d","mid",60,7.77777777777778,9.57572161481548
88,"mid_060d","mid",60,6.66666666666667,5.52268050859363
89,"mid_060d","mid",60,8.66666666666667,10
90,"mid_060d","mid",60,6.66666666666667,6.18465843842649
91,"mid_060d","mid",60,7.22222222222222,7.25909391346086
92,"mid_060d","mid",60,5.55555555555556,5.81186525805423
93,"mid_060d","mid",60,6,6.70820393249937
94,"mid_060d","mid",60,6.11111111111111,6.41179468722378
95,"mid_060d","mid",60,3.77777777777778,3.83333333333333
96,"mid_060d","mid",60,3.44444444444444,3.77859468291821
97,"mid_060d","mid",60,3.66666666666667,3.04138126514911
98,"mid_060d","mid",60,5.44444444444444,5.96051824741589
99,"mid_060d","mid",60,6.33333333333333,7.69740215917033
100,"mid_060d","mid",60,5.55555555555556,6.78437747901587
101,"mid_060d","mid",60,7.11111111111111,7.89690516032142
102,"mid_060d","mid",60,3.55555555555556,2.83333333333333
103,"mid_060d","mid",60,4.33333333333333,3.93700393700591
104,"mid_060d","mid",60,6,8.47053717304871
105,"mid_060d","mid",60,3.88888888888889,5.55527777083299
106,"mid_060d","mid",60,4.11111111111111,4.371625682868
107,"mid_060d","mid",60,4.66666666666667,4.47213595499958
108,"mid_060d","mid",60,4.33333333333333,4.03112887414927
109,"mid_060d","mid",60,7.11111111111111,8.22259758902934
110,"mid_060d","mid",60,5.77777777777778,5.89019901569076
111,"mid_060d","mid",60,3.33333333333333,3.08220700148449
112,"mid_060d","mid",60,2.33333333333333,2.34520787991171
113,"mid_060d","mid",60,4.22222222222222,4.17665469538056
114,"mid_060d","mid",60,6.33333333333333,8.09320702811932
115,"mid_060d","mid",60,2.33333333333333,2.82842712474619
116,"mid_060d","mid",60,6.66666666666667,9.48683298050514
117,"mid_060d","mid",60,2.55555555555556,3.08670986290869
118,"mid_060d","mid",60,3.77777777777778,5.09356892997871
119,"mid_060d","mid",60,2.66666666666667,3.24037034920393
120,"mid_060d","mid",60,2.66666666666667,2.95803989154981
121,"mid_060d","mid",60,3.66666666666667,4.24264068711928
122,"mid_060d","mid",60,5.77777777777778,9.3645311919201
123,"mid_060d","mid",60,2.66666666666667,2.82842712474619
124,"mid_060d","mid",60,3.66666666666667,4.03112887414927
125,"mid_060d","mid",60,2.33333333333333,2.69258240356725
126,"mid_060d","mid",60,2.11111111111111,2.47206616236522
127,"mid_060d","mid",60,1.88888888888889,1.96497102042527
128,"mid_060d","mid",60,3.44444444444444,4.63980363569168
129,"mid_060d","mid",60,2.55555555555556,3.67801274845232
130,"mid_060d","mid",60,3.33333333333333,5.54526825320471
131,"mid_060d","mid",60,2.55555555555556,3.35824027993498
