"panel","informative","mae_incidence","peak_true","peak_predicted","peak_day_true","peak_day_pred","peak_day_err"
"sim 1 | R0 1.12 -> 1.13
beta 0.198 -> 0.188 | incub 8.1d",TRUE,1.56986301369863,169,169,1,1,0
"sim 2 | R0 3.93 -> 4.19
beta 0.480 -> 0.501 | incub 3.7d",TRUE,1.20821917808219,664,664,1,1,0
"sim 3 | R0 4.67 -> 4.52
beta 0.450 -> 0.443 | incub 4.5d",TRUE,1.32328767123288,335,302,13,14,1
"sim 4 | R0 1.49 -> 1.40
beta 0.362 -> 0.325 | incub 3.9d",TRUE,1.36164383561644,360,360,1,1,0
"sim 5 | R0 1.46 -> 1.66
beta 0.338 -> 0.379 | incub 3.1d",TRUE,2.23835616438356,614,614,1,1,0
"sim 6 | R0 2.56 -> 2.54
beta 0.497 -> 0.499 | incub 5.3d",TRUE,1.62739726027397,229,227,25,25,0
"sim 7 | R0 1.62 -> 1.61
beta 0.345 -> 0.349 | incub 5.3d",TRUE,1.06575342465753,398,398,1,1,0
"sim 8 | R0 4.96 -> 4.69
beta 0.369 -> 0.374 | incub 5.0d",TRUE,1.73698630136986,224,243,25,21,4
"sim 9 | R0 1.89 -> 1.77
beta 0.295 -> 0.283 | incub 3.2d",TRUE,2.25479452054795,148,135,37,24,13
