"date","day_index","daily_cases"
1861-10-30,1,1
1861-10-31,2,0
1861-11-01,3,1
1861-11-02,4,0
1861-11-03,5,0
1861-11-04,6,0
1861-11-05,7,0
1861-11-06,8,0
1861-11-07,9,2
1861-11-08,10,1
1861-11-09,11,0
1861-11-10,12,0
1861-11-11,13,2
1861-11-12,14,1
1861-11-13,15,1
1861-11-14,16,0
1861-11-15,17,2
1861-11-16,18,0
1861-11-17,19,1
1861-11-18,20,1
1861-11-19,21,1
1861-11-20,22,4
1861-11-21,23,14
1861-11-22,24,12
1861-11-23,25,7
1861-11-24,26,5
1861-11-25,27,5
1861-11-26,28,3
1861-11-27,29,5
1861-11-28,30,3
1861-11-29,31,5
1861-11-30,32,13
1861-12-01,33,20
1861-12-02,34,12
1861-12-03,35,16
1861-12-04,36,12
1861-12-05,37,12
1861-12-06,38,5
1861-12-07,39,6
1861-12-08,40,0
1861-12-09,41,3
1861-12-10,42,0
1861-12-11,43,2
1861-12-12,44,3
1861-12-13,45,3
1861-12-14,46,1
1861-12-15,47,2
1861-12-16,48,0
1861-12-17,49,0
1861-12-18,50,0
1861-12-19,51,0
1861-12-20,52,0
1861-12-21,53,0
1861-12-22,54,0
1861-12-23,55,0
1861-12-24,56,0
1861-12-25,57,0
1861-12-26,58,0
1861-12-27,59,0
1861-12-28,60,0
1861-12-29,61,0
1861-12-30,62,0
1861-12-31,63,0
1862-01-01,64,0
1862-01-02,65,0
1862-01-03,66,0
1862-01-04,67,0
1862-01-05,68,0
1862-01-06,69,0
1862-01-07,70,0
1862-01-08,71,0
1862-01-09,72,0
1862-01-10,73,0
1862-01-11,74,0
1862-01-12,75,0
1862-01-13,76,0
1862-01-14,77,0
1862-01-15,78,0
1862-01-16,79,0
1862-01-17,80,0
1862-01-18,81,0
1862-01-19,82,0
1862-01-20,83,0
1862-01-21,84,0
1862-01-22,85,0
1862-01-23,86,0
1862-01-24,87,1
