"period","method","beta","R0","coverage_pct","rmse","mae","n_in_ci","n_days"
"full_wave_365d","BiLSTM",0.12078507989645,1.2078507989645,0,1459.67671195531,1038.81232876712,0,365
"full_wave_365d","ABC",0.462854951600283,4.62854951600283,7.12328767123288,1461.79546617559,1030.51780821918,26,365
"full_wave_365d","ABC-SMC",0.431612685029234,4.31612685029234,7.67123287671233,1461.64121841506,1029.17123287671,28,365
"full_wave_365d","NelderMead",0.430833737962797,4.30833737962797,7.67123287671233,1461.64332666474,1029.16575342466,28,365
"full_wave_365d","DE",0.421734205167409,4.21734205167409,7.3972602739726,1461.58635435368,1028.7698630137,27,365
"in_sample_60d","BiLSTM",0.12078507989645,1.2078507989645,0,127.758691811295,118.416666666667,0,60
"in_sample_60d","ABC",0.462854951600283,4.62854951600283,30,82.0250215889436,71.225,18,60
"in_sample_60d","ABC-SMC",0.431612685029234,4.31612685029234,30,82.4649925726062,70.7,18,60
"in_sample_60d","NelderMead",0.430833737962797,4.30833737962797,30,82.2361690498773,70.4583333333333,18,60
"in_sample_60d","DE",0.421734205167409,4.21734205167409,28.3333333333333,82.4772695959317,70.7666666666667,17,60
