"date","daily_cases","day_index"
2020-03-18,9,1
2020-03-19,34,2
2020-03-20,26,3
2020-03-21,22,4
2020-03-22,82,5
2020-03-23,31,6
2020-03-24,68,7
2020-03-25,40,8
2020-03-26,86,9
2020-03-27,124,10
2020-03-28,115,11
2020-03-29,100,12
2020-03-30,113,13
2020-03-31,82,14
2020-04-01,81,15
2020-04-02,203,16
2020-04-03,157,17
2020-04-04,167,18
2020-04-05,73,19
2020-04-06,66,20
2020-04-07,83,21
2020-04-08,150,22
2020-04-09,125,23
2020-04-10,120,24
2020-04-11,100,25
2020-04-12,59,26
2020-04-13,47,27
2020-04-14,122,28
2020-04-15,137,29
2020-04-16,130,30
2020-04-17,135,31
2020-04-18,132,32
2020-04-19,148,33
2020-04-20,89,34
2020-04-21,138,35
2020-04-22,161,36
2020-04-23,156,37
2020-04-24,181,38
2020-04-25,182,39
2020-04-26,110,40
2020-04-27,95,41
2020-04-28,147,42
2020-04-29,175,43
2020-04-30,156,44
2020-05-01,157,45
2020-05-02,187,46
2020-05-03,133,47
2020-05-04,129,48
2020-05-05,155,49
2020-05-06,128,50
2020-05-07,194,51
2020-05-08,185,52
2020-05-09,151,53
2020-05-10,116,54
2020-05-11,73,55
2020-05-12,183,56
2020-05-13,129,57
2020-05-14,164,58
2020-05-15,153,59
2020-05-16,172,60
2020-05-17,148,61
2020-05-18,137,62
2020-05-19,199,63
2020-05-20,160,64
2020-05-21,194,65
2020-05-22,183,66
2020-05-23,140,67
2020-05-24,131,68
2020-05-25,95,69
2020-05-26,85,70
2020-05-27,237,71
2020-05-28,333,72
2020-05-29,277,73
2020-05-30,272,74
2020-05-31,207,75
2020-06-01,202,76
2020-06-02,281,77
2020-06-03,312,78
2020-06-04,448,79
2020-06-05,546,80
2020-06-06,278,81
2020-06-07,283,82
2020-06-08,196,83
2020-06-09,312,84
2020-06-10,372,85
2020-06-11,336,86
2020-06-12,402,87
2020-06-13,340,88
2020-06-14,303,89
2020-06-15,318,90
2020-06-16,422,91
2020-06-17,487,92
2020-06-18,604,93
2020-06-19,648,94
2020-06-20,413,95
2020-06-21,453,96
2020-06-22,366,97
2020-06-23,490,98
2020-06-24,603,99
2020-06-25,653,100
2020-06-26,569,101
2020-06-27,497,102
2020-06-28,598,103
2020-06-29,535,104
2020-06-30,515,105
2020-07-01,568,106
2020-07-02,624,107
2020-07-03,679,108
2020-07-04,411,109
2020-07-05,535,110
2020-07-06,586,111
2020-07-07,751,112
2020-07-08,627,113
2020-07-09,876,114
2020-07-10,625,115
2020-07-11,644,116
2020-07-12,591,117
2020-07-13,478,118
2020-07-14,461,119
2020-07-15,709,120
2020-07-16,747,121
2020-07-17,741,122
2020-07-18,803,123
2020-07-19,412,124
2020-07-20,447,125
2020-07-21,555,126
2020-07-22,511,127
2020-07-23,870,128
2020-07-24,668,129
2020-07-25,358,130
2020-07-26,435,131
2020-07-27,423,132
2020-07-28,340,133
2020-07-29,496,134
2020-07-30,507,135
2020-07-31,492,136
2020-08-01,481,137
2020-08-02,341,138
2020-08-03,370,139
2020-08-04,412,140
2020-08-05,578,141
2020-08-06,453,142
2020-08-07,384,143
2020-08-08,381,144
2020-08-09,272,145
2020-08-10,352,146
2020-08-11,321,147
2020-08-12,334,148
2020-08-13,558,149
2020-08-14,357,150
2020-08-15,339,151
2020-08-16,239,152
2020-08-17,262,153
2020-08-18,364,154
2020-08-19,458,155
2020-08-20,483,156
2020-08-21,375,157
2020-08-22,298,158
2020-08-23,249,159
2020-08-24,402,160
2020-08-25,413,161
2020-08-26,387,162
2020-08-27,391,163
2020-08-28,473,164
2020-08-29,464,165
2020-08-30,256,166
2020-08-31,289,167
2020-09-01,422,168
2020-09-02,514,169
2020-09-03,507,170
2020-09-04,453,171
2020-09-05,403,172
2020-09-06,341,173
2020-09-07,316,174
2020-09-08,313,175
2020-09-09,388,176
2020-09-10,680,177
2020-09-11,589,178
2020-09-12,656,179
2020-09-13,557,180
2020-09-14,580,181
2020-09-15,748,182
2020-09-16,918,183
2020-09-17,1123,184
2020-09-18,1092,185
2020-09-19,919,186
2020-09-20,641,187
2020-09-21,636,188
2020-09-22,895,189
2020-09-23,1236,190
2020-09-24,1434,191
2020-09-25,1031,192
2020-09-26,1078,193
2020-09-27,886,194
2020-09-28,664,195
2020-09-29,925,196
2020-09-30,1003,197
2020-10-01,1131,198
2020-10-02,1102,199
2020-10-03,1391,200
2020-10-04,1085,201
2020-10-05,739,202
2020-10-06,995,203
2020-10-07,1511,204
2020-10-08,1368,205
2020-10-09,1374,206
2020-10-10,1218,207
2020-10-11,994,208
2020-10-12,960,209
2020-10-13,1149,210
2020-10-14,1517,211
2020-10-15,1524,212
2020-10-16,1333,213
2020-10-17,1125,214
2020-10-18,1180,215
2020-10-19,1056,216
2020-10-20,1299,217
2020-10-21,1654,218
2020-10-22,2020,219
2020-10-23,1634,220
2020-10-24,1828,221
2020-10-25,1176,222
2020-10-26,1134,223
2020-10-27,1590,224
2020-10-28,1860,225
2020-10-29,2393,226
2020-10-30,1727,227
2020-10-31,1874,228
2020-11-01,1209,229
2020-11-02,1686,230
2020-11-03,2135,231
2020-11-04,2844,232
2020-11-05,3048,233
2020-11-06,3007,234
2020-11-07,2454,235
2020-11-08,2248,236
2020-11-09,2439,237
2020-11-10,2318,238
2020-11-11,4002,239
2020-11-12,3442,240
2020-11-13,4120,241
2020-11-14,2665,242
2020-11-15,1990,243
2020-11-16,3188,244
2020-11-17,3004,245
2020-11-18,4006,246
2020-11-19,4643,247
2020-11-20,3402,248
2020-11-21,3283,249
2020-11-22,2223,250
2020-11-23,2670,251
2020-11-24,1784,252
2020-11-25,3889,253
2020-11-26,2305,254
2020-11-27,2077,255
2020-11-28,1744,256
2020-11-29,1920,257
2020-11-30,2534,258
2020-12-01,4048,259
2020-12-02,3943,260
2020-12-03,2998,261
2020-12-04,3708,262
2020-12-05,2600,263
2020-12-06,2211,264
2020-12-07,2329,265
2020-12-08,2574,266
2020-12-09,3428,267
2020-12-10,3201,268
2020-12-11,2711,269
2020-12-12,2096,270
2020-12-13,1963,271
2020-12-14,1934,272
2020-12-15,3037,273
2020-12-16,3212,274
2020-12-17,2684,275
2020-12-18,2431,276
2020-12-19,2014,277
2020-12-20,1803,278
2020-12-21,2286,279
2020-12-22,2654,280
2020-12-23,2925,281
2020-12-24,2547,282
2020-12-25,991,283
2020-12-26,815,284
2020-12-27,1711,285
2020-12-28,2752,286
2020-12-29,2631,287
2020-12-30,4706,288
2020-12-31,3123,289
2021-01-01,1956,290
2021-01-02,1846,291
2021-01-03,2174,292
2021-01-04,3389,293
2021-01-05,3821,294
2021-01-06,4628,295
2021-01-07,3845,296
2021-01-08,2630,297
2021-01-09,2325,298
2021-01-10,1475,299
2021-01-11,2149,300
2021-01-12,2918,301
2021-01-13,2757,302
2021-01-14,2424,303
2021-01-15,2159,304
2021-01-16,1581,305
2021-01-17,1072,306
2021-01-18,1308,307
2021-01-19,2152,308
2021-01-20,2094,309
2021-01-21,2640,310
2021-01-22,1764,311
2021-01-23,1507,312
2021-01-24,851,313
2021-01-25,1417,314
2021-01-26,2014,315
2021-01-27,1766,316
2021-01-28,1510,317
2021-01-29,1480,318
2021-01-30,1191,319
2021-01-31,585,320
2021-02-01,1200,321
2021-02-02,1591,322
2021-02-03,1273,323
2021-02-04,1222,324
2021-02-05,1208,325
2021-02-06,913,326
2021-02-07,514,327
2021-02-08,930,328
2021-02-09,1304,329
2021-02-10,1250,330
2021-02-11,1042,331
2021-02-12,943,332
2021-02-13,711,333
2021-02-14,463,334
2021-02-15,581,335
2021-02-16,897,336
2021-02-17,1147,337
2021-02-18,858,338
2021-02-19,783,339
2021-02-20,705,340
2021-02-21,334,341
2021-02-22,714,342
2021-02-23,823,343
2021-02-24,833,344
2021-02-25,655,345
2021-02-26,687,346
2021-02-27,465,347
2021-02-28,263,348
2021-03-01,483,349
2021-03-02,723,350
2021-03-03,618,351
2021-03-04,553,352
2021-03-05,560,353
2021-03-06,415,354
2021-03-07,253,355
2021-03-08,558,356
2021-03-09,654,357
2021-03-10,662,358
2021-03-11,521,359
2021-03-12,494,360
2021-03-13,398,361
2021-03-14,221,362
2021-03-15,484,363
2021-03-16,697,364
2021-03-17,566,365
