"Date","observed","lower","median","upper"
2025-03-07,50,41.75,41.75,125.25
2025-03-08,33,41.75,41.75,125.25
2025-03-09,23,41.75,41.75,125.25
2025-03-10,43,41.75,41.75,125.25
2025-03-11,54,41.75,41.75,125.25
2025-03-12,47,41.75,41.75,125.25
2025-03-13,43,41.75,41.75,125.25
2025-03-14,34,41.75,41.75,125.25
2025-03-15,39,41.75,41.75,125.25
2025-03-16,28,41.75,41.75,125.25
2025-03-17,37,41.75,41.75,125.25
2025-03-18,41,41.75,41.75,125.25
2025-03-19,107,41.75,41.75,125.25
2025-03-20,36,41.75,41.75,167
2025-03-21,43,41.75,41.75,125.25
2025-03-22,35,41.75,41.75,125.25
2025-03-23,32,41.75,41.75,167
2025-03-24,35,41.75,41.75,125.25
2025-03-25,46,41.75,41.75,167
2025-03-26,44,41.75,41.75,167
2025-03-27,27,41.75,41.75,167
2025-03-28,39,41.75,41.75,167
2025-03-29,21,41.75,41.75,167
2025-03-30,15,41.75,41.75,167
2025-03-31,34,41.75,41.75,167
2025-04-01,37,41.75,41.75,167
2025-04-02,38,41.75,41.75,125.25
2025-04-03,33,41.75,41.75,167
2025-04-04,27,41.75,41.75,125.25
2025-04-05,14,41.75,41.75,167
2025-04-06,28,41.75,41.75,167
2025-04-07,31,41.75,41.75,167
2025-04-08,30,41.75,41.75,167
2025-04-09,35,41.75,41.75,167
2025-04-10,31,41.75,41.75,167
2025-04-11,22,41.75,41.75,167
2025-04-12,30,41.75,41.75,167
2025-04-13,18,41.75,41.75,167
2025-04-14,31,41.75,41.75,167
2025-04-15,30,41.75,41.75,167
2025-04-16,41,41.75,41.75,167
2025-04-17,28,41.75,41.75,167
2025-04-18,27,41.75,41.75,167
2025-04-19,24,41.75,41.75,167
2025-04-20,17,41.75,41.75,167
2025-04-21,24,41.75,41.75,167
2025-04-22,31,41.75,41.75,167
2025-04-23,38,41.75,41.75,167
2025-04-24,37,41.75,41.75,167
2025-04-25,23,41.75,41.75,167
2025-04-26,31,41.75,41.75,167
2025-04-27,23,41.75,41.75,167
2025-04-28,22,41.75,41.75,167
2025-04-29,29,41.75,41.75,167
2025-04-30,41,41.75,41.75,167
2025-05-01,25,41.75,41.75,167
2025-05-02,29,41.75,41.75,167
2025-05-03,22,41.75,41.75,167
2025-05-04,21,41.75,41.75,167
2025-05-05,40,41.75,41.75,167
