day,mean_mae,median_mae,sd_mae,q25_mae,q75_mae,min_mae,max_mae
1,2.357625,2,2.026929690533836,1,3,0,17
2,2.22125,2,1.8492980866678412,1,3,0,12
3,2.208375,2,1.9439552720934643,1,3,0,15
4,2.4355,2,2.240863699007457,1,3,0,20.5
5,2.74475,2,2.9258738219385805,1,4,0,30.5
6,3.311125,2,3.7788336335809456,1,4,0,37
7,3.850875,2,4.939653254829177,1,5,0,57.5
8,4.686125,3,6.627237362064096,1,5,0,79
9,5.758125,3,8.447530655636562,1,6,0,92
10,7.019625,3.5,10.950966088612615,2,7,0,114
11,8.335125,4,13.550420923763873,2,8.5,0,148.5
12,10.073,4.5,16.869589999958258,2,10,0,182
13,12.057,5,20.7818092787713,2,12,0,219.5
14,14.246875,6,24.966468940905905,2.5,14,0,260
15,16.5975,7,29.52116602644432,3,16,0,312
16,19.526625,8,34.896495812106494,3,19,0,358
17,22.286125,8,39.83083063095174,3.5,21.5,0,388
18,25.5025,10,45.35401156834239,4,24.625,0,432.5
19,28.50875,11,50.136266412048826,4,28,0,469
20,31.600625,12,54.41843119314223,5,32,0,495.5
21,34.55025,13,58.02451150954638,5,36,0,541
22,37.81475,15,61.21528820740027,6,40.5,0,544
23,40.261,17,63.17272415583578,7,43,0,527
24,42.60525,18,64.86295725021571,7,47,0,527
25,44.721625,20,65.53020484323298,8,51,0,472.5
26,46.69275,22,65.91852384105583,8.5,55,0,453.5
27,48.4675,24,65.57135403030306,9,57,0,451.5
28,50.255,26,65.24859630543754,10,60,0,447
29,51.477625,28,64.21692059015206,11,63.625,0,443
30,52.70725,29.5,63.55784528570678,12,66.125,0,428.5
31,53.617875,31,62.2147015202652,12.5,69,0,411
32,54.390625,32.5,61.22506718511896,13,71,0,386.5
33,55.178125,34,60.098399840596635,14,73,0,364
34,55.83725,35,58.64521252988746,15,75.5,0,362
35,56.333875,37,57.51593136318422,16,76,0,339.5
36,56.435,37.75,56.48997082846698,16,76.5,0,326
37,56.55075,38,55.47456314588297,16,78.5,0,325
38,56.908,39,54.28600674789184,17,80,0,320
39,56.935125,39.5,53.309751323101366,17,80,0,310
40,56.927375,39.5,52.70160602798417,17.5,81,0,306.5
41,57.029125,40.5,51.57667231914302,18,82,0,296
42,56.776125,40,50.733204432524985,18,83,0,281
43,56.6005,41,49.88341521516327,18,82.625,0,267.5
44,56.027625,40.75,49.431043195215054,18,83,0,273
45,55.745375,41,48.793023767762904,18,83,0,262
46,55.1315,40.5,47.973430878639135,17,82,0,258
47,54.47225,39.5,47.37069215829962,17,82,0,260
48,54.114,40,46.76965339961138,17,81.5,0,252.5
49,53.213375,39,45.944368587026965,16.5,81,0,236
50,52.555125,39,45.451692628823864,16,81,0,235
51,51.667125,38.5,44.63033831945488,15,81,0,232.5
52,50.7395,37,43.91765681243677,15,78,0,231
53,50.01175,37,43.210247839107325,15,77,0,214
54,49.032,36,42.70703043542308,14.375,75.5,0,213
55,48.289625,35.5,41.90709791996331,14,75,0,208
56,47.325625,34.25,41.356649997118005,13.5,74,0,205
57,46.152125,33.25,40.51411197103517,13,72,0,204
58,45.28725,32.5,40.19096684444743,12.5,71,0,200
59,44.345125,32,39.24412027907486,12,69.5,0,198
60,43.373875,31,38.44721806748386,12,67,0,197.5
